IDs:;240814 01_240812A_elasticity;03_DNAJB6_00_439_uM_exchange_expansion_compression_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
389.6;66.4177423032729;25.503;14.578
390.599;63.15144896;25.287;14.4
391.732;63.3146411809088;25.285;14.399
392.864;63.486296310913;25.293;14.406
394.009;63.363296310913;25.293;14.406
395.143;63.7780711646054;25.251;14.376
396.217;65.4147147702547;26.699;15.492
397.221;64.8491594494253;26.723;15.508
398.224;64.8269999701445;26.727;15.509
399.209;64.7541594494253;26.726;15.508
400.194;63.6019446337241;25.024;14.203
401.212;61.8032002863768;25.154;14.293
402.23;67.4305852890287;29.077;17.369
403.232;69.0750062720313;31.676;19.475
404.213;69.0239149810375;31.677;19.476
405.211;65.4589478225713;30.43;18.435
406.213;64.6451700696788;25.494;14.565
407.2;62.41361493952;25.457;14.52
408.181;63.4763185104001;25.178;14.318
409.185;63.1489057658037;25.222;14.351
410.195;65.0319944878681;25.3;14.418
411.221;63.6112282420471;25.313;14.422
412.218;67.5162511110377;29.037;17.338
413.22;70.1646327328797;31.722;19.523
414.223;69.20499634663;31.739;19.53
415.225;69.00599634663;31.742;19.53
416.224;61.7145431285911;23.724;13.222
417.27;62.7179211545209;24.997;14.178
418.251;63.3997612477454;25.305;14.414
419.244;63.4047612477454;25.304;14.414
420.243;63.6843778035302;25.306;14.416
421.386;63.8871861296325;25.307;14.417
422.381;67.6989346031821;29.821;17.968
423.369;69.5721784921555;31.72;19.517
424.374;68.94090557952;31.731;19.52
425.361;69.849228029368;30.182;18.267
426.341;63.4551599689933;25.558;14.608
427.346;63.701164782391;25.364;14.459
428.322;61.5444625099714;25.329;14.426
429.308;63.916123714103;25.328;14.433
430.314;63.4791801085385;25.271;14.391
431.415;64.1205454712857;25.357;14.457
432.407;68.2490225070554;30.016;18.126
433.401;68.9417370069677;31.814;19.588
434.399;69.1279179659346;31.811;19.586
435.422;66.86103194041;28.355;16.79
436.431;61.91026318394;25.648;14.667
437.445;64.3896734654688;25.446;14.525
438.45;63.9845939885063;25.366;14.462
439.46;63.8467842212134;25.365;14.461
440.449;63.1757842212134;25.368;14.461
441.515;63.011643303594;25.378;14.467
442.527;68.2080128746138;30.041;18.145
443.52;68.7842903403002;31.835;19.604
444.52;68.9152903403002;31.834;19.604
445.503;65.50955136744;28.959;17.26
446.515;65.8703763866791;27.123;15.822
447.506;62.5225504253766;25.341;14.436
448.504;64.1826411809088;25.282;14.399
449.504;63.1650257193939;25.283;14.397
450.496;62.9928334340385;25.286;14.398
451.479;64.6376560017188;25.707;14.725
452.488;68.5384625940538;30.212;18.284
453.469;69.5034572535227;31.784;19.569
454.458;69.10536665067;31.792;19.57
455.44;69.1770615820313;29.7;17.875
456.436;62.4051058686962;26.005;14.935
457.416;63.4204540234669;25.588;14.628
458.414;66.7400499602297;25.431;14.523
459.417;64.3596591259597;25.397;14.488
460.43;63.66438875;25.419;14.5
461.45;63.9273072323816;25.354;14.453
462.459;67.8020822518342;30.009;18.116
463.465;68.8853599521034;31.74;19.526
464.472;68.9562690397918;31.741;19.527
465.476;63.8382294317737;28.059;16.538
466.489;64.399457257468;25.984;14.933
467.462;63.3733793417827;25.58;14.623
468.452;61.5270499602297;25.459;14.523
469.448;62.2236591259597;25.409;14.488
470.469;63.561735863639;25.36;14.456
471.482;64.9566390248948;25.576;14.627
472.466;68.1835386014879;30.108;18.197
473.453;69.6360989529498;31.802;19.584
474.455;69.0667370069677;31.815;19.588
475.458;65.7760559027831;30.518;18.503
476.456;64.9840541990402;25.9;14.873
477.455;62.2897605211085;25.62;14.648
478.446;61.4810233103955;25.636;14.652
479.435;67.0849208552099;25.435;14.529
480.425;62.7977951831698;25.28;14.393
481.456;63.3779325858118;25.334;14.434
482.436;67.8572344009178;29.854;17.993
483.433;68.6041894569875;31.812;19.583
484.442;69.0300989529498;31.81;19.584
485.429;67.8685548511531;29.229;17.489
489.144;62.6269827671497;24.407;13.738
490.124;68.18778648896;25.316;14.44
491.109;63.3192601528525;25.35;14.448
492.102;67.0791360196922;28.321;16.766
493.1;68.075635737991;31.784;19.556
494.083;69.2535450425287;31.774;19.557
495.073;68.916363673058;31.782;19.559
496.084;61.8473228747898;25.01;14.181
497.066;61.8674571880446;25.266;14.374
498.049;64.4862335745226;25.203;14.339
499.062;63.4550364657831;25.25;14.371
500.054;64.6481043154142;25.289;14.407
501.063;62.5927204209575;25.307;14.409
502.041;63.6585546022849;25.39;14.478
503.045;63.159595584922;25.341;14.441
504.048;63.4509856253208;25.393;14.481
505.062;63.5656064664645;25.397;14.483
506.066;63.1759856253208;25.395;14.481
507.051;63.4368033292092;25.443;14.519
508.032;63.3458033292092;25.444;14.519
509.008;63.5587905249177;25.486;14.551
510.004;63.5917905249177;25.485;14.551
511.003;63.0870646462976;25.536;14.587
512.041;63.5602509273346;25.531;14.586
513.047;63.6038783965677;25.534;14.588
514.067;63.10193490632;25.578;14.62
515.054;62.8211942158746;25.586;14.624
516.058;63.6265644988231;25.578;14.622
517.051;62.570286595543;25.629;14.656
518.031;63.4694469757602;25.636;14.666
519.016;63.597734384625;25.627;14.659
519.995;63.7104707277862;25.622;14.655
521;63.6656784242707;25.669;14.692
521.976;63.7018614445895;25.668;14.691
522.992;63.6496784242707;25.669;14.692
524.004;63.6204954347488;25.671;14.693
525.037;63.44674642823;25.72;14.73
526.019;63.5909282816839;25.717;14.729
527.009;63.6179282816839;25.717;14.729
528.03;63.5941101657549;25.717;14.728
529.068;63.5669282816839;25.717;14.729
530.052;63.71174642823;25.719;14.73
531.033;63.7115815932474;25.763;14.764
532.044;63.6855815932474;25.762;14.764
533.042;63.7282200538522;25.765;14.766
534.038;63.6578586362061;25.768;14.768
535.05;64.1696557906893;25.818;14.808
536.033;63.2396557906893;25.823;14.808
537.033;64.1071943222987;25.814;14.805
538.035;64.297014781521;25.815;14.806
539.038;63.6901943222987;25.817;14.805
540.038;63.6766557906893;25.82;14.808
541.039;63.6448352709862;25.82;14.807
542.047;64.4183929924633;25.862;14.843
543.054;64.2458578977338;25.869;14.846
544.061;64.2316795929274;25.869;14.847
545.044;64.1540362325887;25.866;14.845
546.038;63.7770362325887;25.87;14.845
547.056;63.8398578977338;25.871;14.846
548.046;63.7765013181645;25.874;14.848
549.079;63.7658578977338;25.871;14.846
550.097;63.8683230734403;25.874;14.849
551.128;63.78414485875;25.876;14.85
552.115;64.3596103948336;25.877;14.853
553.114;63.3687885194515;25.885;14.852
554.089;63.7909262281588;25.922;14.885
555.096;63.8259262281588;25.922;14.885
556.094;63.7199262281588;25.922;14.885
557.086;63.8007490914506;25.923;14.886
558.109;63.7895719845966;25.924;14.887
559.104;63.7055719845966;25.925;14.887
560.091;63.8603949075917;25.926;14.888
561.087;63.8982178604311;25.927;14.889
562.083;63.9042178604311;25.927;14.889
563.088;63.9028638556235;25.929;14.891
564.091;63.7566868979667;25.932;14.892
565.097;63.4959793655398;25.939;14.896
566.098;63.727333072123;25.933;14.894
567.082;64.0051562039263;25.935;14.895
568.061;63.8305121349538;25.977;14.927
569.051;63.8955121349538;25.977;14.927
570.033;63.9145121349538;25.977;14.927
571.029;63.9116880516314;25.976;14.926
572.076;63.8651603905579;25.979;14.929
573.068;63.88598456283;25.98;14.93
574.097;63.8751603905579;25.98;14.929
575.083;63.81798456283;25.98;14.93
576.071;63.83198456283;25.981;14.93
577.067;63.85898456283;25.982;14.93
578.054;63.7998087647423;25.983;14.931
579.066;63.88098456283;25.981;14.93
580.054;63.89198456283;25.981;14.93
581.055;63.75198456283;25.982;14.93
