IDs:;DNAJB6_meas3;01_DNAJB6_00_439_uM_compression_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
459.186;62.5638950271625;50.46;38.807
460.173;62.5718950271625;50.46;38.807
461.193;62.5698950271625;50.461;38.807
462.193;62.5339575761604;50.461;38.806
463.201;62.5388950271625;50.462;38.807
464.213;62.5190826458417;50.461;38.804
465.2;62.5248324687237;50.465;38.808
466.198;62.5209575761604;50.464;38.806
467.201;62.4980826458417;50.463;38.804
468.206;62.497707323516;50.468;38.81
469.222;62.4630201157195;50.465;38.805
470.241;62.463707323516;50.47;38.81
471.246;62.4517699008422;50.471;38.809
472.24;62.4295821405217;50.475;38.812
473.235;62.4640201157195;50.468;38.805
474.221;62.4677699008422;50.472;38.809
475.215;62.426707323516;50.474;38.81
476.207;62.4116447367432;50.476;38.811
477.219;62.3764569197253;50.48;38.814
478.218;62.3874569197253;50.48;38.814
479.219;62.373707323516;50.478;38.81
480.238;62.3765195348498;50.481;38.813
481.253;62.3805821405217;50.48;38.812
482.25;62.3716447367432;50.48;38.811
483.246;62.365707323516;50.48;38.81
484.24;62.3596447367432;50.482;38.811
485.246;62.3586447367432;50.481;38.811
486.235;62.3408324687237;50.48;38.808
487.248;62.3335821405217;50.484;38.812
488.236;62.3225821405217;50.485;38.812
489.23;62.308707323516;50.484;38.81
490.238;62.3074569197253;50.488;38.814
491.246;62.3044569197253;50.488;38.814
492.228;62.2993942951465;50.49;38.815
493.215;62.2983316611113;50.491;38.816
494.211;62.2916447367432;50.488;38.811
495.212;62.259707323516;50.488;38.81
496.22;62.2804569197253;50.491;38.814
497.232;62.269707323516;50.488;38.81
498.218;62.245707323516;50.489;38.81
499.215;62.2396447367432;50.491;38.811
500.215;62.2344569197253;50.494;38.814
501.218;62.2355195348498;50.493;38.813
502.212;62.239707323516;50.491;38.81
503.232;62.2146447367432;50.492;38.811
504.226;62.2198950271625;50.489;38.807
505.226;62.2096447367432;50.494;38.811
506.229;62.194707323516;50.493;38.81
507.228;62.177707323516;50.494;38.81
508.224;62.1906447367432;50.495;38.811
509.238;62.1716447367432;50.497;38.811
510.251;62.1725195348498;50.499;38.813
511.229;62.162707323516;50.496;38.81
512.235;62.166707323516;50.497;38.81
513.237;62.1495195348498;50.501;38.813
514.227;62.1456447367432;50.499;38.811
515.222;62.1215195348498;50.502;38.813
516.224;62.1415195348498;50.501;38.813
517.235;62.1395821405217;50.501;38.812
518.253;62.1216447367432;50.501;38.811
519.258;62.129707323516;50.5;38.81
520.273;62.0944569197253;50.505;38.814
521.28;62.1016447367432;50.503;38.811
522.259;62.0843316611113;50.509;38.816
523.242;62.0645195348498;50.507;38.813
524.262;62.0834569197253;50.507;38.814
525.255;62.0725821405217;50.506;38.812
526.254;62.052707323516;50.505;38.81
527.262;62.0423942951465;50.511;38.815
528.271;62.0726447367432;50.507;38.811
529.288;62.0475195348498;50.509;38.813
530.281;62.0175195348498;50.51;38.813
531.279;62.0103942951465;50.512;38.815
532.281;62.0144569197253;50.512;38.814
533.285;62.006707323516;50.508;38.81
534.282;62.0055821405217;50.51;38.812
535.274;62.006707323516;50.509;38.81
536.267;61.9956447367432;50.511;38.811
537.27;62.0025821405217;50.511;38.812
538.266;61.9716447367432;50.512;38.811
539.261;61.9905195348498;50.514;38.813
540.264;61.9654569197253;50.516;38.814
541.26;61.982707323516;50.512;38.81
542.247;61.963707323516;50.512;38.81
543.245;61.944707323516;50.513;38.81
544.234;61.9485195348498;50.517;38.813
545.214;61.9305821405217;50.517;38.812
546.191;61.9325821405217;50.517;38.812
547.202;61.9235821405217;50.516;38.812
548.182;61.9285821405217;50.518;38.812
549.167;61.8927699008422;50.515;38.809
550.169;61.893707323516;50.517;38.81
551.166;61.9186447367432;50.518;38.811
552.16;61.8908324687237;50.516;38.808
553.163;61.9075195348498;50.522;38.813
554.183;61.8935821405217;50.521;38.812
555.175;61.8725195348498;50.523;38.813
556.177;61.852707323516;50.519;38.81
557.184;61.8568950271625;50.517;38.807
558.169;61.8627699008422;50.519;38.809
559.162;61.8466447367432;50.522;38.811
560.161;61.8385821405217;50.524;38.812
561.146;61.825707323516;50.523;38.81
562.134;61.8317699008422;50.521;38.809
563.125;61.8375195348498;50.526;38.813
564.118;61.7956447367432;50.525;38.811
565.12;61.8024569197253;50.528;38.814
566.128;61.7986447367432;50.525;38.811
567.137;61.7975821405217;50.527;38.812
568.132;61.7815195348498;50.529;38.813
569.122;61.7596447367432;50.527;38.811
570.117;61.7705821405217;50.528;38.812
571.118;61.7655821405217;50.528;38.812
572.116;61.754707323516;50.528;38.81
573.108;61.740707323516;50.528;38.81
574.087;61.7474569197253;50.532;38.814
575.091;61.7485821405217;50.531;38.812
576.075;61.7298324687237;50.528;38.808
577.068;61.7215821405217;50.532;38.812
578.074;61.7157699008422;50.53;38.809
579.061;61.717707323516;50.531;38.81
580.06;61.705707323516;50.531;38.81
581.051;61.7055821405217;50.533;38.812
582.052;61.699707323516;50.533;38.81
583.058;61.6905821405217;50.534;38.812
584.054;61.689707323516;50.533;38.81
585.053;61.6836447367432;50.535;38.811
586.044;61.6755821405217;50.536;38.812
587.021;61.6594569197253;50.538;38.814
588.008;61.6693316611113;50.54;38.816
589.009;61.6645195348498;50.538;38.813
590.022;61.6634569197253;50.539;38.814
591.023;61.6525195348498;50.539;38.813
592.028;61.6335821405217;50.538;38.812
593.009;61.6345195348498;50.539;38.813
594.026;61.6305195348498;50.54;38.813
595.016;61.6203942951465;50.543;38.815
596.008;61.6095821405217;50.541;38.812
597.005;61.6126447367432;50.541;38.811
598.006;61.5936447367432;50.541;38.811
599.026;61.6105195348498;50.543;38.813
600.009;61.6035821405217;50.542;38.812
600.997;61.6014569197253;50.545;38.814
601.988;61.5786447367432;50.543;38.811
603.013;61.5853942951465;50.546;38.815
603.994;61.5866447367432;50.543;38.811
605.002;61.5694569197253;50.547;38.814
606.008;61.5794569197253;50.547;38.814
607.005;61.5615195348498;50.547;38.813
608.005;61.5525195348498;50.546;38.813
608.992;61.551707323516;50.543;38.81
609.995;61.5446447367432;50.545;38.811
610.991;61.542707323516;50.545;38.81
611.999;61.5417699008422;50.544;38.809
612.998;61.5375195348498;50.549;38.813
613.983;61.5155195348498;50.55;38.813
614.959;61.5144569197253;50.551;38.814
615.942;61.5226447367432;50.548;38.811
616.957;61.517707323516;50.547;38.81
617.947;61.5046447367432;50.548;38.811
618.944;61.485707323516;50.549;38.81
619.927;61.514707323516;50.548;38.81
620.923;61.4915821405217;50.552;38.812
621.921;61.4786447367432;50.55;38.811
622.916;61.5016447367432;50.551;38.811
623.909;61.4595821405217;50.552;38.812
624.919;61.466707323516;50.551;38.81
625.902;61.467707323516;50.552;38.81
626.892;61.4776447367432;50.552;38.811
627.887;61.4565821405217;50.554;38.812
628.867;61.4455195348498;50.555;38.813
629.877;61.4385821405217;50.555;38.812
630.86;61.4383942951465;50.558;38.815
631.877;61.4305821405217;50.556;38.812
632.912;61.4347699008422;50.553;38.809
633.923;61.398707323516;50.555;38.81
634.926;61.3997699008422;50.554;38.809
635.921;61.3905821405217;50.558;38.812
636.919;61.4155821405217;50.558;38.812
637.895;61.4265821405217;50.558;38.812
638.885;61.4075821405217;50.559;38.812
639.877;61.3975195348498;50.56;38.813
640.894;61.3667699008422;50.557;38.809
641.898;61.3855195348498;50.561;38.813
642.895;61.3805821405217;50.561;38.812
643.882;61.378707323516;50.559;38.81
644.865;61.3627699008422;50.559;38.809
645.863;61.3865821405217;50.562;38.812
646.874;61.3616447367432;50.561;38.811
647.866;61.3337699008422;50.559;38.809
648.852;61.3379575761604;50.557;38.806
649.846;61.3155821405217;50.564;38.812
650.85;61.3257699008422;50.561;38.809
651.854;61.3544569197253;50.566;38.814
652.856;61.3226447367432;50.563;38.811
653.862;61.3196447367432;50.564;38.811
654.887;61.3325821405217;50.565;38.812
655.862;61.3255195348498;50.566;38.813
656.85;61.3026447367432;50.565;38.811
657.839;61.288707323516;50.565;38.81
658.828;61.2788324687237;50.564;38.808
659.813;61.2898950271625;50.563;38.807
660.836;61.2898324687237;50.564;38.808
661.818;61.281707323516;50.567;38.81
662.824;61.2687699008422;50.565;38.809
663.834;61.2648324687237;50.565;38.808
664.849;61.2605195348498;50.57;38.813
665.866;61.2454569197253;50.571;38.814
666.853;61.2364569197253;50.572;38.814
667.847;61.2288950271625;50.565;38.807
668.848;61.2340201157195;50.564;38.805
669.847;61.2236447367432;50.57;38.811
670.843;61.2307699008422;50.568;38.809
671.832;61.2228324687237;50.569;38.808
672.837;61.202707323516;50.57;38.81
673.833;61.2026447367432;50.572;38.811
674.816;61.194707323516;50.571;38.81
675.814;61.2463316611113;50.577;38.816
676.8;61.1866447367432;50.572;38.811
677.795;61.1918324687237;50.57;38.808
678.8;61.1785821405217;50.574;38.812
679.796;61.1915195348498;50.575;38.813
680.78;61.170707323516;50.574;38.81
681.761;61.1767699008422;50.573;38.809
682.768;61.2026447367432;50.574;38.811
683.755;61.1625821405217;50.576;38.812
684.758;61.1506447367432;50.576;38.811
685.762;61.1515821405217;50.577;38.812
686.75;61.1597699008422;50.575;38.809
687.742;61.1507699008422;50.575;38.809
688.74;61.1375195348498;50.58;38.813
689.721;61.128707323516;50.577;38.81
