IDs:;DNAJB6_meas3_240729A;02_DNAJB6_05_000_uM_compression_corrected;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
315.984;57.2870214055682;52.43;40.013
316.98;57.2791720880888;52.43;40.011
317.989;57.2794733117689;52.426;40.007
318.978;57.2640214055682;52.434;40.013
319.976;57.2670967527201;52.433;40.012
320.982;57.2640967527201;52.434;40.012
321.963;57.2560214055682;52.435;40.013
322.953;57.2540214055682;52.436;40.013
323.945;57.255247411676;52.436;40.01
324.948;57.2390214055682;52.437;40.013
325.941;57.2440967527201;52.438;40.012
326.924;57.2301720880888;52.437;40.011
327.911;57.2073227234838;52.437;40.009
328.907;57.2201720880888;52.439;40.011
329.918;57.2311720880888;52.441;40.011
330.929;57.220247411676;52.439;40.01
331.943;57.22154858825;52.435;40.006
332.963;57.206247411676;52.441;40.01
333.982;57.2063980235141;52.439;40.008
334.975;57.2024733117689;52.438;40.007
335.991;57.1996238529595;52.438;40.005
336.987;57.1810214055682;52.445;40.013
337.964;57.189247411676;52.445;40.01
338.961;57.1800967527201;52.447;40.012
339.958;57.2163980235141;52.445;40.008
340.939;57.2200214055682;52.45;40.013
341.935;57.178247411676;52.447;40.01
342.928;57.1754733117689;52.446;40.007
343.931;57.171247411676;52.448;40.01
344.927;57.1961720880888;52.451;40.011
345.939;57.1623227234838;52.449;40.009
346.933;57.1643980235141;52.448;40.008
347.923;57.150247411676;52.451;40.01
348.931;57.1544733117689;52.449;40.007
349.927;57.1603980235141;52.451;40.008
350.927;57.1363227234838;52.452;40.009
351.936;57.141247411676;52.453;40.01
352.92;57.1384733117689;52.453;40.007
353.915;57.1403980235141;52.453;40.008
354.943;57.1323227234838;52.456;40.009
355.945;57.1263227234838;52.456;40.009
356.956;57.1253227234838;52.455;40.009
357.955;57.1796991058993;52.454;40.004
358.95;57.1204733117689;52.456;40.007
359.949;57.0983980235141;52.457;40.008
360.952;57.1156238529595;52.456;40.005
361.962;57.1116991058993;52.455;40.004
362.972;57.099247411676;52.462;40.01
363.955;57.1083980235141;52.461;40.008
364.941;57.1136991058993;52.46;40.004
365.929;57.1047743470713;52.459;40.003
