IDs:;DNAJB6_meas2;02_DNAJB6_00_439_uM_to_DNAJB6_05_000_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
432.596;62.377;26.25;15.011
433.609;62.206;26.248;15.011
434.628;62.384;26.248;15.011
435.693;62.281;26.253;15.013
436.697;62.542;26.25;15.011
437.725;62.089;26.252;15.013
438.753;62.315;26.256;15.016
439.742;62.41;26.254;15.014
440.731;62.47;26.251;15.013
441.726;62.479;26.256;15.015
442.74;62.259;26.255;15.014
443.739;62.28;26.256;15.016
444.816;62.197;26.257;15.016
445.808;62.31;26.221;14.988
446.813;62.255;26.222;14.988
447.812;62.322;26.221;14.988
448.792;62.3;26.221;14.988
449.798;62.104;26.214;14.983
450.784;62.323;26.217;14.985
451.792;62.246;26.216;14.984
452.77;62.129;26.218;14.985
453.811;62.147;26.217;14.984
454.796;62.321;26.218;14.985
455.801;62.308;26.217;14.984
456.791;62.1;26.214;14.983
457.807;62.21;26.218;14.985
458.805;62.221;26.22;14.987
459.789;61.951;26.218;14.985
460.818;61.869;26.222;14.987
461.824;62.185;26.223;14.989
462.807;61.987;26.219;14.987
463.789;62.199;26.221;14.987
464.781;62.071;26.223;14.988
465.776;61.923;26.219;14.986
466.758;61.976;26.223;14.989
467.748;61.997;26.226;14.991
468.728;61.92;26.224;14.991
469.717;62.299;26.226;14.992
470.719;61.878;26.225;14.99
471.709;62.107;26.223;14.988
472.697;61.96;26.228;14.993
473.69;61.838;26.226;14.992
474.672;61.8;26.226;14.991
475.669;61.68;26.225;14.991
476.652;61.823;26.226;14.992
477.651;61.826;26.225;14.991
478.648;61.828;26.221;14.988
479.668;61.817;26.23;14.994
480.658;61.714;26.228;14.993
481.644;61.884;26.227;14.993
482.632;61.824;26.227;14.992
483.641;61.752;26.231;14.994
484.627;61.765;26.224;14.99
485.615;61.661;26.226;14.991
486.601;62.02;26.229;14.994
487.604;61.698;26.227;14.992
488.595;61.8;26.227;14.992
489.58;61.765;26.233;14.996
490.622;61.741;26.227;14.992
491.61;61.664;26.227;14.992
492.621;61.745;26.231;14.994
493.604;61.755;26.231;14.993
494.607;61.816;26.233;14.995
495.606;61.716;26.234;14.996
496.606;61.793;26.235;14.997
497.599;61.697;26.236;14.997
498.614;61.693;26.237;14.998
499.626;61.825;26.234;14.996
500.607;61.666;26.233;14.996
501.582;61.544;26.235;14.997
502.596;61.637;26.24;15
503.573;61.527;26.236;14.998
504.57;61.688;26.239;14.999
505.575;61.675;26.236;14.997
506.583;61.595;26.231;14.993
507.578;61.56;26.228;14.992
508.567;61.517;26.228;14.992
509.568;61.646;26.234;14.996
510.618;61.591;26.236;14.997
511.64;61.735;26.24;15
512.646;61.55;26.242;15.001
513.664;61.599;26.242;15.001
514.696;61.744;26.239;15
515.699;61.648;26.239;14.999
516.694;61.549;26.237;14.997
517.696;61.49;26.235;14.995
518.688;61.575;26.237;14.998
519.664;61.601;26.234;14.997
520.65;61.366;26.237;14.998
521.646;61.501;26.24;14.999
522.653;61.585;26.24;15
523.646;61.549;26.241;15
524.651;61.534;26.242;15.001
525.641;61.439;26.244;15.002
526.644;61.496;26.241;15
527.638;61.426;26.242;15
528.633;61.336;26.237;14.999
529.616;61.552;26.241;15
530.657;61.605;26.244;15.003
531.687;61.167;26.243;15.002
532.715;61.614;26.248;15.005
533.718;61.521;26.248;15.005
534.689;61.444;26.248;15.005
535.728;61.449;26.247;15.004
536.772;61.506;26.246;15.003
537.78;61.439;26.245;15.003
538.813;61.436;26.244;15.001
539.801;61.489;26.244;15.002
540.809;61.579;26.241;15
541.824;61.291;26.238;14.998
542.825;61.455;26.235;14.997
543.824;61.387;26.24;14.998
544.811;61.482;26.24;14.999
545.848;61.575;26.238;14.998
546.875;61.428;26.238;14.997
547.897;61.434;26.238;14.997
548.894;61.357;26.238;14.996
549.89;61.533;26.238;14.997
550.903;61.368;26.234;14.994
551.913;61.381;26.237;14.996
552.913;61.413;26.236;14.996
553.918;61.299;26.238;14.996
554.944;61.437;26.239;14.998
555.971;61.342;26.237;14.996
556.991;61.383;26.232;14.994
