IDs:;DNAJB6_meas1;01_DNAJB6_00_439_uM_to_buffer;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
373.747;64.451;26.22;15.004
374.742;64.558;26.221;15.005
375.734;64.647;26.221;15.006
376.748;64.516;26.222;15.006
377.758;64.494;26.226;15.008
378.767;64.547;26.228;15.01
379.75;64.545;26.23;15.011
380.767;64.469;26.228;15.009
381.763;64.376;26.228;15.009
382.765;64.008;26.214;14.998
383.762;64.464;26.209;14.995
384.751;64.377;26.209;14.994
385.751;64.292;26.207;14.993
386.746;64.292;26.21;14.995
387.737;64.497;26.208;14.994
388.727;64.159;26.209;14.994
389.729;64.16;26.21;14.994
390.724;64.143;26.21;14.995
391.727;64.163;26.207;14.992
392.715;64.125;26.206;14.991
393.691;64.165;26.206;14.991
394.685;64.144;26.207;14.992
395.674;63.858;26.212;14.995
396.674;64.004;26.211;14.994
397.677;63.869;26.212;14.995
398.68;63.943;26.211;14.995
399.685;63.738;26.21;14.994
400.671;63.836;26.212;14.995
401.677;63.862;26.212;14.996
402.655;63.814;26.213;14.996
403.668;63.897;26.212;14.995
404.676;63.863;26.215;14.997
405.68;63.837;26.214;14.996
406.664;63.656;26.216;14.997
407.663;63.724;26.216;14.998
408.668;63.65;26.213;14.996
409.7;63.64;26.217;14.999
410.721;63.59;26.219;15
411.714;63.621;26.22;15
412.729;63.684;26.219;15
413.763;63.609;26.223;15.002
414.748;63.623;26.221;15.001
415.746;63.601;26.221;15.001
416.74;63.5;26.221;15.001
417.716;63.48;26.223;15.002
418.738;63.376;26.222;15.001
419.749;63.377;26.221;15.001
420.752;63.359;26.22;15
421.74;63.398;26.221;15.001
422.745;63.433;26.223;15.001
423.775;63.408;26.221;15
424.778;63.258;26.219;14.999
425.774;63.302;26.22;14.999
426.761;63.247;26.22;14.999
427.745;63.293;26.219;14.999
428.73;63.244;26.219;14.998
429.722;63.192;26.22;14.999
430.717;63.165;26.22;14.999
431.714;63.174;26.219;14.998
432.713;63.175;26.221;15
433.714;63.347;26.221;15
434.71;63.134;26.222;15
435.708;63.126;26.226;15.002
436.689;63.252;26.228;15.003
437.69;63.062;26.225;15.001
438.695;63.215;26.227;15.003
439.699;63.096;26.223;15.001
440.693;63.078;26.225;15.002
441.708;62.971;26.224;15.001
442.701;63.275;26.229;15.004
443.708;63.1;26.226;15.002
444.714;62.981;26.226;15.002
445.707;63.078;26.226;15.003
446.721;62.887;26.225;15.001
447.761;63.067;26.229;15.003
448.783;63.075;26.229;15.004
449.81;62.951;26.226;15.002
450.818;62.843;26.227;15.002
451.82;62.917;26.228;15.004
