IDs:;model_03_330_uM
Concentration [uM]:;03.330
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
369.0;57.51314975236012;Inf;Inf
370.0;57.509458662888996;Inf;Inf
371.0;57.50577771458363;Inf;Inf
372.0;57.50210685139779;Inf;Inf
373.0;57.498446017749686;Inf;Inf
374.0;57.494795158516425;Inf;Inf
375.0;57.4911542190295;Inf;Inf
376.0;57.48752314506941;Inf;Inf
377.0;57.48390188286099;Inf;Inf
378.0;57.480290379068315;Inf;Inf
379.0;57.47668858079027;Inf;Inf
380.0;57.473096435555604;Inf;Inf
381.0;57.46951389131833;Inf;Inf
382.0;57.46594089645302;Inf;Inf
383.0;57.46237739975056;Inf;Inf
384.0;57.458823350413375;Inf;Inf
385.0;57.45527869805148;Inf;Inf
386.0;57.45174339267756;Inf;Inf
387.0;57.44821738470297;Inf;Inf
388.0;57.4447006249336;Inf;Inf
389.0;57.44119306456565;Inf;Inf
390.0;57.43769465518123;Inf;Inf
391.0;57.434205348744776;Inf;Inf
392.0;57.4307250975986;Inf;Inf
393.0;57.42725385445926;Inf;Inf
394.0;57.42379157241341;Inf;Inf
395.0;57.42033820491403;Inf;Inf
396.0;57.4168937057768;Inf;Inf
397.0;57.41345802917595;Inf;Inf
398.0;57.410031129641006;Inf;Inf
399.0;57.40661296205271;Inf;Inf
400.0;57.40320348163962;Inf;Inf
401.0;57.39980264397463;Inf;Inf
402.0;57.39641040497137;Inf;Inf
403.0;57.39302672088056;Inf;Inf
404.0;57.38965154828678;Inf;Inf
405.0;57.38628484410501;Inf;Inf
406.0;57.38292656557732;Inf;Inf
407.0;57.37957667026945;Inf;Inf
408.0;57.376235116067754;Inf;Inf
409.0;57.37290186117586;Inf;Inf
410.0;57.36957686411139;Inf;Inf
411.0;57.36626008370302;Inf;Inf
412.0;57.36295147908717;Inf;Inf
413.0;57.359651009705175;Inf;Inf
414.0;57.35635863530005;Inf;Inf
415.0;57.35307431591371;Inf;Inf
416.0;57.34979801188364;Inf;Inf
417.0;57.34652968384054;Inf;Inf
418.0;57.34326929270485;Inf;Inf
419.0;57.34001679968438;Inf;Inf
420.0;57.33677216627142;Inf;Inf
421.0;57.33353535423962;Inf;Inf
422.0;57.330306325641686;Inf;Inf
423.0;57.32708504280631;Inf;Inf
424.0;57.32387146833573;Inf;Inf
425.0;57.32066556510312;Inf;Inf
426.0;57.31746729624984;Inf;Inf
427.0;57.314276625182885;Inf;Inf
428.0;57.311093515572274;Inf;Inf
429.0;57.307917931348776;Inf;Inf
430.0;57.30474983670105;Inf;Inf
431.0;57.301589196073635;Inf;Inf
432.0;57.298435974164036;Inf;Inf
433.0;57.295290135920744;Inf;Inf
434.0;57.29215164654068;Inf;Inf
435.0;57.28902047146675;Inf;Inf
436.0;57.28589657638576;Inf;Inf
437.0;57.28277992722587;Inf;Inf
438.0;57.27967049015459;Inf;Inf
439.0;57.276568231576405;Inf;Inf
440.0;57.27347311813051;Inf;Inf
441.0;57.27038511668872;Inf;Inf
442.0;57.26730419435337;Inf;Inf
443.0;57.264230318455056;Inf;Inf
444.0;57.26116345655048;Inf;Inf
445.0;57.25810357642056;Inf;Inf
446.0;57.25505064606823;Inf;Inf
447.0;57.252004633716496;Inf;Inf
448.0;57.248965507806304;Inf;Inf
449.0;57.24593323699459;Inf;Inf
450.0;57.2429077901524;Inf;Inf
451.0;57.23988913636276;Inf;Inf
452.0;57.23687724491896;Inf;Inf
453.0;57.23387208532259;Inf;Inf
454.0;57.230873627281554;Inf;Inf
455.0;57.227881840708335;Inf;Inf
456.0;57.224896695718094;Inf;Inf
457.0;57.22191816262684;Inf;Inf
458.0;57.21894621194965;Inf;Inf
459.0;57.21598081439907;Inf;Inf
