7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	7uMtau_noSeeds	[Not merged]	[Not merged]
240914_noSeedspH7p4_platereader2_file1to4: A01 X	240914_noSeedspH7p4_platereader2_file1to4: A01 Y	240914_noSeedspH7p4_platereader2_file1to4: A02 X	240914_noSeedspH7p4_platereader2_file1to4: A02 Y	240914_noSeedspH7p4_platereader2_file1to4: A03 X	240914_noSeedspH7p4_platereader2_file1to4: A03 Y	240914_noSeedspH7p4_platereader2_file1to4: A04 X	240914_noSeedspH7p4_platereader2_file1to4: A04 Y	240914_noSeedspH7p4_platereader2_file1to4: A05 X	240914_noSeedspH7p4_platereader2_file1to4: A05 Y	240914_noSeedspH7p4_platereader2_file1to4: B10 X	240914_noSeedspH7p4_platereader2_file1to4: B10 Y
29440.0	-0.005395757858717439	58720.0	-0.008466963721906473	58720.0	-0.005558379439846999	58720.0	-0.008867543339664436	58720.0	-0.006289907179224655	175707.0	-0.0011568759051891545
29600.0	-0.0052480098341085284	58880.0	-0.008555902416464315	58880.0	-0.0053755380109046635	58880.0	-0.010258767738111104	58880.0	-0.006170855308324504	175867.0	-0.0007153202161856572
29760.0	-0.005307109043952093	59040.0	-0.007666515470885902	59040.0	-0.004973286867231525	59040.0	-0.008565103253045596	59040.0	-0.006964534447658845	176027.0	-0.0003620756649828596
29920.0	-0.005395757858717439	59200.0	-0.008600371763743234	59200.0	-0.00628974515561634	59200.0	-0.009411935495578349	59200.0	-0.006408959050124807	176187.0	-0.0002737645271821602
30080.0	-0.0049229641799689245	59360.0	-0.008600371763743234	59360.0	-0.005631516011423933	59360.0	-0.009472423512902117	59360.0	-0.006131171351357787	176347.0	-0.001245187042989854
30240.0	-0.005454857068561004	59520.0	-0.008511433069185394	59520.0	-0.004827013724077657	59520.0	-0.01104511196332009	59520.0	-0.006647062791925108	176507.0	7.948002402063751e-05
30400.0	-0.005041162599656053	59680.0	-0.007488638081770219	59680.0	-0.0058874940119432026	59680.0	-0.007960223079807913	59680.0	-0.006448643007091523	176667.0	-8.831113780061911e-06
30560.0	-0.005720803512857043	59840.0	-0.009400820014763807	59840.0	-0.004205352865673716	59840.0	-0.01037974377275864	59840.0	-0.0075994777591263185	176827.0	-0.00014129782048111103
30720.0	-0.005839001932544172	60000.0	-0.009089534583811362	60000.0	-0.006582291441924077	60000.0	-0.011770968171205308	60000.0	-0.007520109845192884	176987.0	-0.0009360980606874058
30880.0	-0.006370894821136252	60160.0	-0.007844392860001584	60160.0	-0.005777789154577801	60160.0	-0.01037974377275864	60160.0	-0.005972435523490919	177147.0	-0.0008036313539863567
31040.0	-0.0059276507473095185	60320.0	-0.009267411972927044	60320.0	-0.0058874940119432026	60320.0	-0.010077303686139799	60320.0	-0.007797897543959904	177307.0	-0.000759475785086007
31200.0	-0.006223146796527341	60480.0	-0.007399699387212378	60480.0	-0.007167384014539551	60480.0	-0.010742671876701249	60480.0	-0.0062105392652912214	177467.0	-0.0007153202161856572
31360.0	-0.006695940475275856	60640.0	-0.006643720483470727	60640.0	-0.00654572315613561	60640.0	-0.009411935495578349	60640.0	-0.006845482576758695	177627.0	-0.000450386802783559
31520.0	-0.006695940475275856	60800.0	-0.006910536567144251	60800.0	-0.007240520586116485	60800.0	-0.010077303686139799	60800.0	-0.007758213586993187	177787.0	0.00012363559292098721
31680.0	-0.006134497981761995	60960.0	-0.007488638081770219	60960.0	-0.006582291441924077	60960.0	-0.010621695842053714	60960.0	-0.007401057974292733	177947.0	-0.001510120456391952
31840.0	-0.006134497981761995	61120.0	-0.007622046123606981	61120.0	-0.006326313441404808	61120.0	-0.011952432223176613	61120.0	-0.008036001285760206	178107.0	-0.0003620756649828596
32000.0	-0.005632154698091697	61280.0	-0.0073107606926545365	61280.0	-0.005814357440366269	61280.0	-0.008565103253045596	61280.0	-0.006885166533725411	178267.0	-0.0016867427319933509
32160.0	-0.005839001932544172	61440.0	-0.007488638081770219	61440.0	-0.006070335440885538	61440.0	-0.00868607928769313	61440.0	-0.008036001285760206	178427.0	-0.0031438765057048915
32320.0	-0.006666390870354074	61600.0	-0.009222942625648123	61600.0	-0.007167384014539551	61600.0	-0.008625591270369364	61600.0	-0.007877265457893337	178587.0	0.00021194673072168663
32480.0	-0.00580945232762239	61760.0	-0.009489758709321647	61760.0	-0.00793531801609736	61760.0	-0.010137791703463567	61760.0	-0.008789996468127831	178747.0	-0.0006711646472853075
32640.0	-0.006311795611292688	61920.0	-0.007844392860001584	61920.0	-0.006106903726674005	61920.0	-0.010682183859377482	61920.0	-0.007480425888226167	178907.0	-0.00031792009608250986
32800.0	-0.005632154698091697	62080.0	-0.008022270249117266	62080.0	-0.006180040298250939	62080.0	-0.010924135928672554	62080.0	-0.0074407419312594505	179067.0	-0.002128298420996848
32960.0	-0.006991436524493678	62240.0	-0.0089561265419746	62240.0	-0.006180040298250939	62240.0	-0.01207340825782415	62240.0	-0.006686746748891826	179227.0	-0.0013776537496909028
33120.0	-0.0062822460063709055	62400.0	-0.006643720483470727	62400.0	-0.007313657157693419	62400.0	-0.011166087997967627	62400.0	-0.007004218404625563	179387.0	-0.0008919424917870561
