1000nM	1000nM	1000nM	1000nM	1000nM	1000nM	300nM	300nM	300nM	300nM	300nM	300nM	100nM	100nM	100nM	100nM	100nM	100nM	30nM	30nM	30nM	30nM	30nM	30nM	10nM	10nM	10nM	10nM	10nM	10nM	3nM	3nM	3nM	3nM	3nM	3nM	50%seeds	50%seeds	50%seeds	50%seeds	50%seeds	50%seeds
241019_tauJB6elongation50percSeeds: B07 X	241019_tauJB6elongation50percSeeds: B07 Y	241019_tauJB6elongation50percSeeds: B08 X	241019_tauJB6elongation50percSeeds: B08 Y	241019_tauJB6elongation50percSeeds: B09 X	241019_tauJB6elongation50percSeeds: B09 Y	241019_tauJB6elongation50percSeeds: B04 X	241019_tauJB6elongation50percSeeds: B04 Y	241019_tauJB6elongation50percSeeds: B05 X	241019_tauJB6elongation50percSeeds: B05 Y	241019_tauJB6elongation50percSeeds: B06 X	241019_tauJB6elongation50percSeeds: B06 Y	241019_tauJB6elongation50percSeeds: B01 X	241019_tauJB6elongation50percSeeds: B01 Y	241019_tauJB6elongation50percSeeds: B02 X	241019_tauJB6elongation50percSeeds: B02 Y	241019_tauJB6elongation50percSeeds: B03 X	241019_tauJB6elongation50percSeeds: B03 Y	241019_tauJB6elongation50percSeeds: A10 X	241019_tauJB6elongation50percSeeds: A10 Y	241019_tauJB6elongation50percSeeds: A11 X	241019_tauJB6elongation50percSeeds: A11 Y	241019_tauJB6elongation50percSeeds: A12 X	241019_tauJB6elongation50percSeeds: A12 Y	241019_tauJB6elongation50percSeeds: A07 X	241019_tauJB6elongation50percSeeds: A07 Y	241019_tauJB6elongation50percSeeds: A08 X	241019_tauJB6elongation50percSeeds: A08 Y	241019_tauJB6elongation50percSeeds: A09 X	241019_tauJB6elongation50percSeeds: A09 Y	241019_tauJB6elongation50percSeeds: A04 X	241019_tauJB6elongation50percSeeds: A04 Y	241019_tauJB6elongation50percSeeds: A05 X	241019_tauJB6elongation50percSeeds: A05 Y	241019_tauJB6elongation50percSeeds: A06 X	241019_tauJB6elongation50percSeeds: A06 Y	241019_tauJB6elongation50percSeeds: A01 X	241019_tauJB6elongation50percSeeds: A01 Y	241019_tauJB6elongation50percSeeds: A02 X	241019_tauJB6elongation50percSeeds: A02 Y	241019_tauJB6elongation50percSeeds: A03 X	241019_tauJB6elongation50percSeeds: A03 Y
558.0	0.4869492634490559	1080.0	0.5069220163031208	1188.0	0.519261745722428	558.0	0.5323808338648042	558.0	0.507288688438771	558.0	0.5156992937363774	558.0	0.5356881366382503	558.0	0.5416863250151954	558.0	0.5459359091867515	558.0	0.562970858830248	558.0	0.5630025861323565	558.0	0.5598701090287567	558.0	0.5704600980995542	558.0	0.5778184307113152	558.0	0.5779854174404285	558.0	0.5643402323905043	558.0	0.566416686274608	558.0	0.564601006347335	558.0	0.6220284310006522	558.0	0.5619445396102456	558.0	0.5744224271756004
576.0	0.4990755728276415	1098.0	0.5064182577042414	1206.0	0.5102316290630831	576.0	0.5233847174908354	576.0	0.5074631874253346	576.0	0.5234057237633567	576.0	0.5377861794640143	576.0	0.5399436389834614	576.0	0.551099664786199	576.0	0.5651250983125802	576.0	0.5666381065423647	576.0	0.5641817622867616	576.0	0.5757660530782	576.0	0.5779626279269632	576.0	0.574945755224114	576.0	0.5650300231424797	576.0	0.5662664977880574	576.0	0.5612009533816859	576.0	0.6262857127262704	576.0	0.5643292826289944	576.0	0.5741238945512528
594.0	0.4951240998163834	1116.0	0.5105229573988145	1224.0	0.5225471312013997	594.0	0.5265087290846776	594.0	0.5093155612827018	594.0	0.5135033021711674	594.0	0.5366301150498178	594.0	0.5442897279284563	594.0	0.5426117415196072	594.0	0.5718926619693407	594.0	0.5638672504460882	594.0	0.5646554641021031	594.0	0.5750853242320819	594.0	0.5806446961380141	594.0	0.5757960787380026	594.0	0.5667631224068179	594.0	0.5751192746897356	594.0	0.5645155778808615	594.0	0.6224241398789949	594.0	0.5706690043865836	594.0	0.5724380632608191
612.0	0.5002718903448113	1134.0	0.5191801422091867	1242.0	0.5242179843878482	612.0	0.5360752044218375	612.0	0.5047920106310152	612.0	0.5073654375479094	612.0	0.550064011714786	612.0	0.5440878313759994	612.0	0.5464738003950274	612.0	0.5694539002912288	612.0	0.5707649134942657	612.0	0.5629540045204687	612.0	0.5817807120610231	612.0	0.5791931108338252	612.0	0.5851398635572844	612.0	0.5666682761784213	612.0	0.5718985660337056	612.0	0.5649939772931136	612.0	0.6225196558151467	612.0	0.5688888441049824	612.0	0.5759502117825559
630.0	0.4959578968738048	1152.0	0.4969214752290702	1260.0	0.5154694721981293	630.0	0.5304753164195976	630.0	0.5146713378703069	630.0	0.5210869749056815	630.0	0.5389743567786051	630.0	0.5432802451661715	630.0	0.5496581163480199	630.0	0.5665578707984709	630.0	0.5651838983783614	630.0	0.5680390484973985	630.0	0.5774259124564054	630.0	0.5850090651982904	630.0	0.5807318646519538	630.0	0.5721779798098247	630.0	0.5705301820451333	630.0	0.5629778654843367	630.0	0.621155142441551	630.0	0.5778988062849734	630.0	0.5818242801851604
648.0	0.49066509816147746	1170.0	0.5200197398739858	1278.0	0.5278976161242964	648.0	0.5314086310866375	648.0	0.5128458100108726	648.0	0.5237194368441009	648.0	0.5464673668706193	648.0	0.5515686299512473	648.0	0.548657638700627	648.0	0.5677061210885819	648.0	0.5703718842607514	648.0	0.5686674284565248	648.0	0.5779667655122251	648.0	0.5832883117582255	648.0	0.5875637742635417	648.0	0.5778687535136217	648.0	0.5747688348877842	648.0	0.5597742979915767	648.0	0.6290693200084054	648.0	0.5730117624930305	648.0	0.5825793921173339
666.0	0.48453850239172874	1188.0	0.5031158402226986	1296.0	0.5341680089813051	666.0	0.5318752884201575	666.0	0.5098256352434261	666.0	0.5280977802753583	666.0	0.5491220333032186	666.0	0.5482426499028771	666.0	0.547969137954034	666.0	0.5652165518755093	666.0	0.5694973942161818	666.0	0.5748255520559625	666.0	0.5792163225722226	666.0	0.5825096467937269	666.0	0.5907598178157437	666.0	0.5749198980489268	666.0	0.5810767513229103	666.0	0.5715975977515227	666.0	0.6325488291110741	666.0	0.5739102396162915	666.0	0.5861354424955922
684.0	0.4901756955408171	1206.0	0.5169038996512871	1314.0	0.5161640965565405	684.0	0.536956668274042	684.0	0.5120538530718534	684.0	0.5208687397190768	684.0	0.5447653831497189	684.0	0.5460961707662293	684.0	0.5501852497321301	684.0	0.5724210603329316	684.0	0.5799421460968267	684.0	0.5717223217962774	684.0	0.5839814244950484	684.0	0.5827595886341832	684.0	0.5842993138768888	684.0	0.5769547807672543	684.0	0.5798668996256969	684.0	0.5695131431695669	684.0	0.6318119918893325	684.0	0.5759675003190853	684.0	0.5843179056355935
702.0	0.4879280686903767	1224.0	0.5194973235492218	1332.0	0.5266961037205582	702.0	0.5389658873489197	702.0	0.509664559255829	702.0	0.5182635571789829	702.0	0.5449152433515592	702.0	0.5476369602455062	702.0	0.5522830254444057	702.0	0.574585461322256	702.0	0.5759627251074935	702.0	0.5717126544122907	702.0	0.5824707659598277	702.0	0.5879026226589582	702.0	0.5919229040014075	702.0	0.5821109666382702	702.0	0.5771217878437439	702.0	0.5715463406716386	702.0	0.6305429944518885	702.0	0.5768995653721878	702.0	0.5866622647738527
720.0	0.48885249586273527	1242.0	0.5064369154301259	1350.0	0.5263018574630816	720.0	0.5329900809391219	720.0	0.5155438328031249	720.0	0.5173633370342384	720.0	0.5471631463791634	720.0	0.5475200727677679	720.0	0.5541979181458675	720.0	0.5774306832800532	720.0	0.5798045858650966	720.0	0.5764883421016507	720.0	0.5857904847162386	720.0	0.5903347490295527	720.0	0.5894110287937134	720.0	0.5775152357532343	720.0	0.5741597371367733	720.0	0.5718965973841803	720.0	0.6358918868763832	720.0	0.5783438463553737	720.0	0.5920797538686315
738.0	0.4938009001383016	1260.0	0.5161762483417947	1368.0	0.530582245401399	738.0	0.5431917287580175	738.0	0.5146310688734077	738.0	0.5167359108727498	738.0	0.5537248823597416	738.0	0.5537682397595943	738.0	0.5547035358816467	738.0	0.5754796739375636	738.0	0.5852283892875952	738.0	0.5810513473433062	738.0	0.5849232548163897	738.0	0.5957084985993644	738.0	0.590310221475067	738.0	0.5755407097257047	738.0	0.578440109003466	738.0	0.5721614256302485	738.0	0.6331082795942483	738.0	0.5816690514096854	738.0	0.5855998398460274
756.0	0.4903932078166662	1278.0	0.513676113073282	1386.0	0.524443267963549	756.0	0.542543593572573	756.0	0.515892830776252	756.0	0.5250288479637293	756.0	0.5468741302756143	756.0	0.5509523141595365	756.0	0.5596198615252873	756.0	0.5800218675630471	756.0	0.5807773332180448	756.0	0.5817860685262847	756.0	0.5797105503646096	756.0	0.593612832398615	756.0	0.5915710459956605	756.0	0.5846287028829804	756.0	0.5827121370653503	756.0	0.5714950835917545	756.0	0.6427008086106252	756.0	0.5849606685341555	756.0	0.592114875353849
774.0	0.4901575695178297	1296.0	0.5106908769317743	1404.0	0.5293995066289692	774.0	0.5428676611652952	774.0	0.512295467053249	774.0	0.5283705742586141	774.0	0.5521941674409444	774.0	0.5583587297944056	774.0	0.556984194604736	774.0	0.5781013427415339	774.0	0.5798045858650966	774.0	0.5812736971749971	774.0	0.5901452843208564	774.0	0.5956892723039446	774.0	0.5951678167210743	774.0	0.5882414819464515	774.0	0.587968734094622	774.0	0.5736051667136524	774.0	0.6426462280756814	774.0	0.5825255436206445	774.0	0.5844232700912456
792.0	0.5031539279998115	1314.0	0.5155045702099554	1422.0	0.5266773300892498	792.0	0.5378122067188286	792.0	0.5177317816346528	792.0	0.5232966061700544	792.0	0.5550629198761726	792.0	0.5576999094653354	792.0	0.554897176716626	792.0	0.5818814233426074	792.0	0.5839706957403492	792.0	0.5821920986537201	792.0	0.5898468826348869	792.0	0.594295365886015	792.0	0.5998885782981801	792.0	0.5847494162645761	792.0	0.5842390533452817	792.0	0.5784575036093527	792.0	0.6454844158927602	792.0	0.5864637283945641	792.0	0.5914300063921103
810.0	0.4891606382535214	1332.0	0.5163441678747545	1440.0	0.5266961037205582	810.0	0.5434509828321952	810.0	0.5173559376635928	810.0	0.5346993946701512	810.0	0.5475806140842899	810.0	0.5564566517475741	810.0	0.56249220057748	810.0	0.5875617057512097	810.0	0.5850318746708381	810.0	0.592091499855956	810.0	0.5884574497845912	810.0	0.595660432860815	810.0	0.5962918075727662	810.0	0.5919232400851202	810.0	0.5870342279560848	810.0	0.5833269261983478	810.0	0.6450750618806814	810.0	0.5854560904993181	810.0	0.5959782387277593
