"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"5.0106e+05","2.0675e-12","2.0850e-12","3.5864e-07","3.5891e-07","1.1429e+00","7.1870e-01","1.1934e-04"," 0.03 %"
"5.9788e+05","2.0675e-12","2.0850e-12","3.0056e-07","3.0079e-07","1.2857e+00","7.1870e-01","1.1233e-07"," 0.00 %"
"8.0787e+05","2.0675e-12","2.0850e-12","2.2243e-07","2.2260e-07","1.5714e+00","7.1870e-01","2.3772e-05"," 0.01 %"
"9.2050e+05","2.0675e-12","2.0850e-12","1.9522e-07","1.9537e-07","1.7143e+00","7.1870e-01","2.6906e-05"," 0.01 %"
"1.1600e+06","2.0675e-12","2.0850e-12","1.5492e-07","1.5504e-07","2.0000e+00","7.1870e-01","9.8476e-08"," 0.00 %"
"4.1745e+05","2.0921e-12","2.1098e-12","4.3559e-07","4.3592e-07","1.0000e+00","7.1870e-01","5.1668e-03"," 1.21 %"
"5.1003e+05","2.0921e-12","2.1098e-12","3.5652e-07","3.5679e-07","1.1429e+00","7.1870e-01","3.1995e-04"," 0.08 %"
"6.0859e+05","2.0921e-12","2.1098e-12","2.9878e-07","2.9901e-07","1.2857e+00","7.1870e-01","5.6117e-05"," 0.01 %"
"1.1807e+06","2.0921e-12","2.1098e-12","1.5400e-07","1.5412e-07","2.0000e+00","7.1870e-01","9.5169e-05"," 0.02 %"
"4.2484e+05","2.1167e-12","2.1346e-12","4.3305e-07","4.3338e-07","1.0000e+00","7.1870e-01","7.7875e-03"," 1.83 %"
"6.1935e+05","2.1167e-12","2.1346e-12","2.9704e-07","2.9727e-07","1.2857e+00","7.1870e-01","4.3705e-05"," 0.01 %"
"9.5356e+05","2.1167e-12","2.1346e-12","1.9294e-07","1.9308e-07","1.7143e+00","7.1870e-01","7.9505e-06"," 0.00 %"
"1.0752e+06","2.1167e-12","2.1346e-12","1.7111e-07","1.7124e-07","1.8571e+00","7.1870e-01","1.2868e-05"," 0.00 %"
"1.2016e+06","2.1167e-12","2.1346e-12","1.5311e-07","1.5322e-07","2.0000e+00","7.1870e-01","1.0320e-04"," 0.02 %"
"4.3227e+05","2.1413e-12","2.1594e-12","4.3055e-07","4.3088e-07","1.0000e+00","7.1870e-01","7.9517e-03"," 1.87 %"
"5.2813e+05","2.1413e-12","2.1594e-12","3.5240e-07","3.5267e-07","1.1429e+00","7.1870e-01","1.5770e-04"," 0.04 %"
"9.7023e+05","2.1413e-12","2.1594e-12","1.9182e-07","1.9197e-07","1.7143e+00","7.1870e-01","6.7571e-07"," 0.00 %"
"1.2226e+06","2.1413e-12","2.1594e-12","1.5222e-07","1.5234e-07","2.0000e+00","7.1870e-01","1.0539e-04"," 0.02 %"
