Sample IDs:;251006_251002B_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
531.940002441406;0.20228810608387;0.19758976995945;0.199804499745369
532.530029296875;0.195701286196709;0.199616596102715;0.201352313160896
532.97998046875;0.188592627644539;0.193892195820808;0.192111566662788
533.429992675781;0.184953898191452;0.17515917122364;0.192904010415077
534.02001953125;0.171909391880035;0.210283264517784;0.204581514000893
534.469970703125;0.176934406161308;0.192889049649239;0.179539069533348
535.070007324219;0.168162181973457;0.178699463605881;0.200959131121635
535.52001953125;0.177234202623367;0.166901245713234;0.180609107017517
535.969970703125;0.183564484119415;0.195774331688881;0.19862063229084
536.559997558594;0.150819525122643;0.185166403651237;0.166553735733032
537.010009765625;0.166359111666679;0.165523707866669;0.161418423056602
537.460021972656;0.175999626517296;0.162141680717468;0.164820715785027
538.049987792969;0.171550914645195;0.168797388672829;0.16495580971241
538.5;0.160763546824455;0.155610129237175;0.16874335706234
538.950012207031;0.162203758955002;0.153960198163986;0.176267981529236
539.549987792969;0.141285911202431;0.162077516317368;0.174475535750389
540;0.164648175239563;0.162112236022949;0.16529293358326
540.440002441406;0.146612942218781;0.159790500998497;0.148273766040802
541.02001953125;0.151314899325371;0.135509192943573;0.163950964808464
541.469970703125;0.151558846235275;0.147074818611145;0.157599464058876
542.049987792969;0.142695173621178;0.153731197118759;0.141209378838539
542.5;0.129411607980728;0.142065793275833;0.1468765437603
542.940002441406;0.142639890313148;0.130715310573578;0.134541496634483
543.52001953125;0.121424451470375;0.149994090199471;0.146376863121986
543.969970703125;0.122035577893257;0.146493136882782;0.138184741139412
544.549987792969;0.135149776935577;0.120717957615852;0.137750014662743
545;0.126245349645615;0.12780524790287;0.136254414916039
545.440002441406;0.12229984998703;0.124984428286552;0.133098036050797
546.02001953125;0.126989513635635;0.13496059179306;0.128496810793877
546.469970703125;0.105418130755424;0.135625839233398;0.133973330259323
547.049987792969;0.121242061257362;0.116529062390327;0.118728518486023
547.5;0.102626353502274;0.137788623571396;0.118983790278435
547.940002441406;0.1182581782341;0.122781917452812;0.124026253819466
548.52001953125;0.108824133872986;0.100047752261162;0.127403557300568
548.969970703125;0.102714225649834;0.117218658328056;0.130254060029984
549.549987792969;0.109289154410362;0.110938891768456;0.112896949052811
550;0.119426652789116;0.10858216881752;0.108548060059547
550.440002441406;0.116338685154915;0.10713429749012;0.0996942967176437
551.039978027344;0.0961451083421707;0.124419361352921;0.10818900167942
551.489990234375;0.109377503395081;0.104208439588547;0.11398933827877
551.940002441406;0.106684789061546;0.104305997490883;0.0976477116346359
552.530029296875;0.0903460830450058;0.102407187223434;0.116832807660103
552.97998046875;0.104248106479645;0.109539538621902;0.102989599108696
553.429992675781;0.0946063697338104;0.0952699184417725;0.109711647033691
554.02001953125;0.0917750298976898;0.0980285704135895;0.0992442965507507
554.469970703125;0.0761922150850296;0.101977244019508;0.0935418158769608
555.070007324219;0.0900117456912994;0.094218984246254;0.101533159613609
555.52001953125;0.094580739736557;0.101590514183044;0.100821301341057
555.969970703125;0.0662207677960396;0.0812255442142487;0.0969351977109909
556.559997558594;0.0876155495643616;0.0827167332172394;0.096728652715683
557.010009765625;0.0888476222753525;0.0921686440706253;0.105113610625267
557.460021972656;0.0655975267291069;0.0852112174034119;0.0813931375741959
558.049987792969;0.0953367501497269;0.0789484679698944;0.0726045519113541
558.5;0.0845593363046646;0.0773429572582245;0.0962004065513611
558.950012207031;0.0708879977464676;0.0848383456468582;0.0854118913412094
559.549987792969;0.0716713964939117;0.0820803940296173;0.0834302306175232
560;0.0722334086894989;0.0957943797111511;0.0860213786363602
