Sample IDs:;251006_251002O_tht_4days;;
Wavelength [nm];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.];Fluorescence intensity [a.u.]
552.97998046875;3.29689359664917;3.65730428695679;2.93845105171204
553.429992675781;3.28887128829956;3.66844582557678;2.85394263267517
554.02001953125;3.2259418964386;3.61404776573181;2.80093860626221
554.469970703125;3.1518726348877;3.59790444374084;2.75858545303345
555.070007324219;3.18151783943176;3.57664513587952;2.75258755683899
555.52001953125;3.10613989830017;3.44221210479736;2.68007349967957
555.969970703125;3.0631685256958;3.46667385101318;2.61054158210754
556.559997558594;2.99901556968689;3.41791749000549;2.60290837287903
557.010009765625;2.94589519500732;3.38865160942078;2.59724378585815
557.460021972656;2.95056772232056;3.28925895690918;2.55720567703247
558.049987792969;2.86934304237366;3.25105690956116;2.53044533729553
558.5;2.86217188835144;3.23875188827515;2.5195803642273
558.950012207031;2.78924679756165;3.19480848312378;2.43025374412537
559.549987792969;2.74476003646851;3.12326979637146;2.40739727020264
560;2.70123505592346;3.10173273086548;2.41464614868164
