IDs:;240715_03_240712B;03_DNAJB6_03_330_uM;
Concentration [uM]:;3.33;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
724.62;56.282;51.876;38.869
725.611;56.277;51.875;38.867
726.612;56.276;51.878;38.87
727.617;56.277;51.877;38.869
728.62;56.276;51.879;38.871
729.623;56.278;51.879;38.87
730.628;56.277;51.878;38.867
731.613;56.268;51.879;38.871
732.599;56.277;51.879;38.868
733.591;56.276;51.877;38.866
734.585;56.266;51.882;38.87
735.583;56.27;51.881;38.87
736.586;56.261;51.881;38.868
737.56;56.257;51.884;38.871
738.572;56.26;51.884;38.872
739.587;56.259;51.884;38.87
740.606;56.265;51.883;38.868
741.605;56.256;51.885;38.871
742.603;56.254;51.882;38.867
743.607;56.247;51.886;38.871
744.608;56.253;51.883;38.868
745.607;56.258;51.886;38.868
746.605;56.24;51.887;38.871
747.606;56.243;51.887;38.87
748.618;56.234;51.89;38.873
749.622;56.237;51.889;38.871
750.614;56.234;51.892;38.873
751.616;56.23;51.89;38.872
752.606;56.24;51.893;38.873
753.605;56.231;51.892;38.873
754.618;56.214;51.89;38.871
755.621;56.211;51.894;38.875
756.607;56.224;51.893;38.871
757.615;56.227;51.894;38.873
758.595;56.223;51.893;38.872
759.584;56.217;51.895;38.872
760.579;56.22;51.894;38.871
761.582;56.219;51.897;38.874
762.565;56.214;51.896;38.872
763.554;56.212;51.895;38.872
764.559;56.21;51.897;38.873
765.576;56.208;51.899;38.873
766.593;56.211;51.897;38.871
767.59;56.204;51.896;38.871
768.589;56.214;51.897;38.872
769.581;56.196;51.9;38.872
770.593;56.197;51.9;38.874
771.595;56.206;51.901;38.874
772.602;56.204;51.903;38.876
773.614;56.2;51.902;38.873
774.63;56.197;51.901;38.873
775.62;56.199;51.899;38.871
776.612;56.195;51.902;38.873
777.615;56.193;51.9;38.87
778.592;56.19;51.902;38.872
779.594;56.198;51.902;38.873
780.587;56.191;51.901;38.87
781.593;56.195;51.9;38.87
782.607;56.193;51.901;38.87
783.613;56.184;51.904;38.872
784.609;56.188;51.902;38.87
785.615;56.182;51.903;38.87
786.615;56.184;51.904;38.871
787.6;56.178;51.904;38.871
788.59;56.184;51.904;38.871
789.591;56.18;51.904;38.87
790.577;56.167;51.906;38.871
791.585;56.176;51.903;38.868
792.578;56.181;51.902;38.868
793.574;56.174;51.902;38.867
794.569;56.167;51.907;38.872
795.557;56.166;51.908;38.873
796.553;56.166;51.906;38.869
797.537;56.163;51.909;38.871
798.519;56.166;51.909;38.871
799.506;56.162;51.91;38.872
800.5;56.164;51.907;38.869
801.502;56.162;51.907;38.869
802.505;56.163;51.906;38.867
803.512;56.151;51.909;38.869
804.524;56.153;51.906;38.866
805.509;56.153;51.906;38.867
806.496;56.151;51.908;38.868
807.492;56.153;51.909;38.869
808.486;56.148;51.908;38.867
809.487;56.147;51.91;38.869
810.491;56.147;51.908;38.867
811.473;56.15;51.91;38.868
812.471;56.144;51.91;38.868
813.475;56.137;51.91;38.868
814.456;56.143;51.91;38.867
815.445;56.143;51.91;38.867
816.442;56.143;51.909;38.866
817.433;56.135;51.911;38.868
818.447;56.131;51.913;38.869
819.458;56.131;51.914;38.871
820.454;56.141;51.914;38.87
821.456;56.137;51.914;38.869
822.467;56.128;51.916;38.871
823.468;56.13;51.913;38.868
824.472;56.133;51.915;38.869
825.468;56.135;51.915;38.869
826.468;56.127;51.919;38.873
827.475;56.116;51.917;38.87
828.46;56.132;51.917;38.869
829.436;56.131;51.916;38.868
830.444;56.123;51.919;38.871
831.431;56.122;51.916;38.867
832.42;56.112;51.918;38.869
833.418;56.107;51.917;38.868
834.421;56.117;51.918;38.868
835.435;56.112;51.917;38.867
836.45;56.107;51.919;38.869
837.438;56.107;51.918;38.868
838.433;56.116;51.919;38.867
839.434;56.096;51.922;38.87
840.434;56.103;51.917;38.865
841.441;56.108;51.918;38.867
842.422;56.11;51.917;38.865
843.427;56.092;51.919;38.866
844.41;56.095;51.919;38.866
845.408;56.098;51.921;38.867
846.406;56.083;51.922;38.867
847.396;56.094;51.921;38.867
848.4;56.087;51.92;38.866
849.417;56.075;51.92;38.864
850.426;56.093;51.919;38.863
851.421;56.084;51.921;38.866
852.411;56.089;51.92;38.864
853.411;56.078;51.921;38.864
854.395;56.077;51.92;38.864
855.372;56.081;51.921;38.864
856.394;56.064;51.921;38.863
857.396;56.069;51.924;38.867
