IDs:;240715_06_240712E;06_DNAJB6_00_988_uM;
Concentration [uM]:;0.988;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
440.09;58.881;51.505;38.997
441.082;58.877;51.508;38.999
442.082;58.885;51.507;38.997
443.069;58.878;51.51;39
444.062;58.865;51.513;39.002
445.047;58.873;51.509;38.998
446.055;58.853;51.513;39
447.061;58.853;51.511;38.998
448.046;58.851;51.514;39
449.047;58.868;51.513;39.001
450.036;58.846;51.515;39
451.035;58.856;51.514;39
452.051;58.859;51.513;38.997
453.042;58.836;51.514;38.998
454.041;58.834;51.516;39
455.05;58.85;51.515;38.998
456.044;58.831;51.516;38.999
457.037;58.839;51.516;38.999
458.057;58.841;51.516;38.998
459.057;58.825;51.518;39
460.061;58.824;51.517;38.999
461.044;58.813;51.519;39
462.043;58.804;51.519;38.999
463.046;58.814;51.518;38.997
464.058;58.81;51.518;38.997
465.072;58.798;51.52;38.998
466.059;58.799;51.519;38.997
467.051;58.795;51.519;38.996
468.053;58.79;51.522;38.998
469.065;58.787;51.52;38.996
470.063;58.791;51.521;38.997
471.051;58.794;51.521;38.997
472.067;58.78;51.523;38.997
473.08;58.78;51.522;38.996
474.068;58.772;51.523;38.997
475.067;58.777;51.523;38.996
476.065;58.779;51.522;38.993
477.062;58.772;51.524;38.996
478.059;58.768;51.524;38.995
479.04;58.748;51.524;38.994
480.033;58.731;51.521;38.989
481.021;58.745;51.526;38.996
482.045;58.757;51.526;38.996
483.049;58.729;51.523;38.991
484.03;58.73;51.521;38.989
485.016;58.743;51.526;38.994
486.004;58.715;51.523;38.989
487.019;58.709;51.522;38.987
488.01;58.717;51.523;38.988
489.001;58.711;51.525;38.99
489.998;58.712;51.524;38.988
491;58.709;51.524;38.988
491.983;58.697;51.525;38.988
492.972;58.699;51.526;38.988
493.964;58.699;51.523;38.985
494.958;58.681;51.527;38.99
495.964;58.692;51.524;38.985
496.969;58.693;51.525;38.987
497.952;58.694;51.527;38.988
498.93;58.69;51.529;38.989
499.939;58.66;51.53;38.99
500.942;58.658;51.531;38.991
501.952;58.657;51.528;38.988
502.949;58.666;51.53;38.988
503.939;58.659;51.531;38.988
504.919;58.67;51.531;38.988
505.915;58.653;51.533;38.989
506.929;58.63;51.537;38.992
507.934;58.658;51.534;38.989
508.945;58.635;51.538;38.992
509.966;58.628;51.539;38.994
510.973;58.625;51.539;38.992
511.985;58.63;51.54;38.993
512.981;58.625;51.54;38.991
513.995;58.603;51.542;38.995
514.985;58.616;51.539;38.991
515.983;58.619;51.541;38.991
516.977;58.609;51.542;38.992
517.98;58.618;51.54;38.99
518.987;58.601;51.544;38.992
519.998;58.605;51.543;38.991
520.984;58.6;51.544;38.992
521.974;58.587;51.545;38.993
522.968;58.579;51.545;38.993
523.966;58.595;51.548;38.994
524.977;58.547;51.542;38.987
525.991;58.569;51.55;38.996
527.013;58.552;51.543;38.987
528.005;58.578;51.548;38.993
529;58.571;51.547;38.991
529.981;58.53;51.545;38.989
530.989;58.534;51.543;38.985
531.993;58.528;51.544;38.988
532.993;58.573;51.55;38.992
533.989;58.524;51.546;38.988
534.976;58.566;51.549;38.991
535.985;58.549;51.552;38.994
536.969;58.516;51.547;38.989
537.963;58.506;51.548;38.988
538.963;58.52;51.546;38.985
539.967;58.508;51.546;38.986
540.974;58.53;51.552;38.992
541.967;58.508;51.546;38.984
542.979;58.501;51.547;38.985
543.982;58.494;51.551;38.988
544.964;58.497;51.548;38.985
545.963;58.492;51.549;38.985
546.964;58.488;51.548;38.985
547.969;58.491;51.548;38.984
548.97;58.487;51.548;38.983
549.944;58.482;51.55;38.984
550.93;58.479;51.549;38.983
551.919;58.483;51.551;38.985
552.919;58.477;51.549;38.983
553.92;58.482;51.549;38.982
554.924;58.469;51.549;38.981
555.932;58.464;51.55;38.982
556.942;58.459;51.549;38.981
557.927;58.492;51.553;38.982
558.944;58.457;51.553;38.984
559.968;58.456;51.554;38.984
560.96;58.452;51.554;38.984
561.956;58.445;51.552;38.981
562.938;58.45;51.553;38.982
563.93;58.475;51.556;38.984
564.926;58.441;51.553;38.982
565.937;58.466;51.555;38.982
566.936;58.439;51.554;38.981
567.938;58.438;51.554;38.981
568.914;58.476;51.558;38.983
569.918;58.419;51.558;38.983
570.902;58.423;51.556;38.98
571.895;58.43;51.559;38.984
572.881;58.462;51.56;38.983
573.877;58.451;51.562;38.984
574.852;58.448;51.558;38.981
575.842;58.448;51.56;38.982
576.841;58.406;51.56;38.983
577.842;58.438;51.558;38.978
578.849;58.445;51.562;38.983
579.868;58.436;51.562;38.982
580.871;58.432;51.564;38.983
581.866;58.43;51.562;38.982
582.865;58.416;51.563;38.982
583.876;58.433;51.563;38.981
584.857;58.412;51.561;38.978
585.846;58.416;51.568;38.985
586.842;58.394;51.567;38.983
587.84;58.388;51.564;38.98
588.842;58.391;51.565;38.981
589.854;58.394;51.57;38.984
590.838;58.385;51.567;38.981
