IDs:;240715_07_240712F;07_DNAJB6_00_658_uM;;*shifted by 3 s
Concentration [uM]:;0.658;;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3];
609.177;59.404;51.48;39.034;
610.176;59.404;51.48;39.034;
611.16;59.399;51.481;39.034;
612.156;59.404;51.48;39.033;
613.137;59.395;51.481;39.033;
614.132;59.386;51.483;39.035;
615.109;59.399;51.482;39.034;
616.11;59.379;51.482;39.034;
617.109;59.379;51.483;39.034;
618.11;59.391;51.483;39.034;
619.092;59.378;51.483;39.034;
620.085;59.373;51.484;39.033;
621.085;59.369;51.486;39.035;
622.095;59.371;51.484;39.033;
623.089;59.334;51.482;39.031;
624.088;59.367;51.485;39.034;
625.1;59.366;51.486;39.034;
626.092;59.356;51.487;39.034;
627.08;59.36;51.486;39.033;
628.095;59.36;51.487;39.034;
629.087;59.319;51.485;39.031;
630.084;59.313;51.484;39.03;
631.085;59.312;51.484;39.029;
632.094;59.304;51.484;39.028;
633.104;59.298;51.485;39.03;
634.088;59.292;51.485;39.029;
635.079;59.323;51.49;39.033;
636.073;59.33;51.491;39.035;
637.09;59.289;51.487;39.029;
638.078;59.286;51.488;39.03;
639.069;59.283;51.487;39.03;
640.063;59.276;51.487;39.028;
641.06;59.28;51.489;39.03;
642.061;59.271;51.489;39.029;
643.067;59.264;51.491;39.031;
644.054;59.266;51.492;39.032;
645.069;59.263;51.492;39.031;
646.041;59.26;51.494;39.032;
647.048;59.258;51.496;39.034;
648.031;59.254;51.494;39.033;
649.032;59.254;51.493;39.031;
650.025;59.256;51.495;39.033;
651.021;59.236;51.495;39.032;
652.005;59.239;51.496;39.031;
653.004;59.237;51.498;39.033;
653.988;59.244;51.498;39.034;
654.971;59.232;51.498;39.032;
655.97;59.238;51.497;39.032;
656.97;59.213;51.498;39.032;
657.979;59.226;51.499;39.032;
658.966;59.221;51.5;39.034;
659.987;59.23;51.499;39.032;
660.985;59.219;51.501;39.033;
661.987;59.213;51.501;39.033;
662.999;59.201;51.503;39.034;
664.012;59.199;51.502;39.033;
665.001;59.204;51.502;39.033;
665.999;59.194;51.502;39.032;
667.001;59.196;51.501;39.031;
668.005;59.194;51.504;39.033;
669.016;59.195;51.503;39.032;
670.003;59.187;51.504;39.033;
671.002;59.176;51.503;39.031;
672.003;59.181;51.503;39.031;
673.008;59.169;51.505;39.032;
674.016;59.171;51.504;39.032;
674.998;59.167;51.506;39.033;
675.998;59.16;51.505;39.031;
676.998;59.171;51.506;39.032;
677.981;59.167;51.505;39.031;
678.981;59.16;51.506;39.031;
679.975;59.153;51.506;39.031;
680.965;59.148;51.509;39.033;
681.947;59.149;51.507;39.032;
682.966;59.15;51.508;39.032;
683.962;59.148;51.508;39.031;
684.965;59.148;51.507;39.03;
685.945;59.146;51.508;39.031;
686.955;59.153;51.508;39.031;
687.939;59.132;51.509;39.031;
688.929;59.129;51.51;39.032;
689.923;59.139;51.51;39.031;
690.924;59.13;51.509;39.03;
691.934;59.124;51.51;39.031;
692.95;59.122;51.509;39.03;
693.967;59.129;51.51;39.031;
694.978;59.128;51.512;39.032;
695.967;59.117;51.511;39.03;
696.95;59.111;51.512;39.03;
697.959;59.111;51.513;39.03;
698.944;59.115;51.512;39.03;
699.931;59.107;51.513;39.03;
700.925;59.109;51.513;39.03;
701.93;59.108;51.514;39.031;
702.937;59.102;51.51;39.027;
703.918;59.098;51.511;39.028;
704.932;59.096;51.513;39.028;
705.95;59.092;51.514;39.029;
706.942;59.084;51.511;39.026;
707.936;59.094;51.513;39.028;
708.925;59.088;51.516;39.03;
709.924;59.083;51.514;39.028;
710.915;59.088;51.514;39.027;
711.93;59.071;51.514;39.027;
712.947;59.075;51.514;39.027;
713.932;59.07;51.516;39.028;
714.925;59.074;51.516;39.028;
715.924;59.065;51.517;39.029;
716.917;59.072;51.518;39.029;
717.92;59.075;51.516;39.027;
718.924;59.056;51.517;39.028;
719.917;59.049;51.517;39.027;
720.912;59.055;51.517;39.027;
721.914;59.057;51.517;39.027;
722.9;59.056;51.516;39.026;
723.894;59.057;51.517;39.025;
724.901;59.051;51.52;39.028;
725.911;59.049;51.522;39.029;
726.9;59.051;51.521;39.029;
727.897;59.037;51.522;39.029;
728.901;59.029;51.523;39.029;
729.914;59.019;51.523;39.029;
730.906;59.031;51.523;39.029;
731.901;59.027;51.525;39.03;
732.911;59.023;51.524;39.029;
733.918;59.01;51.525;39.029;
734.934;59.018;51.526;39.03;
735.925;59.02;51.527;39.031;
736.921;59.015;51.525;39.028;
737.932;59.009;51.528;39.031;
738.924;59.004;51.524;39.027;
739.915;58.999;51.526;39.028;
740.929;58.994;51.527;39.03;
741.92;58.999;51.527;39.028;
742.912;58.988;51.529;39.03;
743.913;58.993;51.529;39.03;
744.899;58.994;51.528;39.029;
745.9;58.977;51.53;39.029;
746.909;58.985;51.527;39.028;
747.892;58.971;51.528;39.027;
748.894;58.978;51.532;39.031;
749.886;58.953;51.531;39.029;
750.881;58.925;51.529;39.027;
751.886;58.968;51.532;39.03;
752.892;58.958;51.53;39.028;
753.877;58.967;51.533;39.03;
754.878;58.946;51.534;39.03;
755.876;58.951;51.532;39.028;
756.872;58.92;51.531;39.027;
757.878;58.959;51.532;39.028;
758.88;58.957;51.537;39.031;
759.864;58.945;51.534;39.03;
760.86;58.954;51.532;39.026;
761.855;58.914;51.53;39.025;
762.857;58.937;51.533;39.027;
763.849;58.938;51.533;39.027;
764.841;58.938;51.535;39.028;
765.837;58.938;51.539;39.032;
766.841;58.94;51.536;39.028;
767.845;58.93;51.538;39.03;
768.84;58.911;51.534;39.026;
769.845;58.93;51.538;39.029;
770.822;58.906;51.536;39.027;
771.825;58.892;51.534;39.024;
772.824;58.892;51.533;39.025;
773.822;58.891;51.533;39.022;
774.816;58.871;51.534;39.024;
775.82;58.894;51.538;39.027;
776.826;58.883;51.536;39.025;
777.84;58.891;51.536;39.024;
778.832;58.878;51.535;39.023;
779.841;58.869;51.535;39.024;
780.828;58.886;51.537;39.025;
781.809;58.87;51.537;39.023;
782.815;58.874;51.539;39.026;
783.809;58.868;51.539;39.025;
784.82;58.873;51.538;39.025;
785.83;58.88;51.541;39.026;
786.812;58.854;51.536;39.022;
787.816;58.87;51.54;39.025;
788.825;58.862;51.539;39.023;
789.83;58.873;51.543;39.027;
790.813;58.864;51.54;39.025;
791.8;58.851;51.54;39.023;
792.807;58.86;51.541;39.025;
793.807;58.87;51.542;39.025;
794.799;58.865;51.541;39.024;
795.805;58.848;51.54;39.022;
796.805;58.852;51.539;39.022;
797.792;58.863;51.543;39.024;
798.787;58.857;51.544;39.026;
799.789;58.841;51.54;39.021;
800.809;58.856;51.545;39.025;
801.809;58.839;51.541;39.021;
802.818;58.849;51.544;39.024;
803.82;58.849;51.545;39.024;
