IDs:;240716_12_240712J;12_DNAJB6_00_130_uM;
Concentration [uM]:;0.13;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
507.432;71.506;50.46;38.978
508.441;71.535;50.463;38.98
509.427;71.569;50.463;38.98
510.45;71.499;50.457;38.976
511.44;71.485;50.462;38.979
512.435;71.566;50.463;38.981
513.432;71.524;50.461;38.979
514.433;71.505;50.46;38.977
515.437;71.49;50.46;38.977
516.42;71.524;50.462;38.979
517.427;71.523;50.46;38.977
518.431;71.543;50.461;38.978
519.419;71.523;50.46;38.978
520.413;71.506;50.461;38.978
521.418;71.529;50.458;38.976
522.43;71.552;50.462;38.979
523.428;71.516;50.459;38.976
524.415;71.523;50.46;38.978
525.406;71.507;50.456;38.973
526.395;71.517;50.457;38.975
527.407;71.498;50.456;38.974
528.398;71.523;50.458;38.976
529.398;71.493;50.457;38.975
530.407;71.516;50.457;38.975
531.392;71.514;50.457;38.974
532.381;71.552;50.46;38.978
533.383;71.509;50.456;38.973
534.383;71.516;50.458;38.975
535.379;71.512;50.457;38.975
536.381;71.473;50.454;38.971
537.385;71.483;50.457;38.974
538.401;71.503;50.455;38.973
539.39;71.506;50.455;38.973
540.382;71.5;50.454;38.972
541.375;71.512;50.454;38.972
542.378;71.534;50.456;38.973
543.384;71.477;50.452;38.969
544.395;71.482;50.454;38.972
545.406;71.494;50.453;38.97
546.421;71.499;50.451;38.969
547.407;71.501;50.453;38.97
548.397;71.551;50.454;38.971
549.389;71.5;50.452;38.969
550.373;71.51;50.454;38.971
551.361;71.53;50.454;38.972
552.359;71.542;50.456;38.973
553.36;71.502;50.452;38.969
554.344;71.524;50.453;38.971
555.322;71.511;50.454;38.971
556.314;71.517;50.452;38.97
557.295;71.463;50.45;38.968
558.295;71.52;50.45;38.968
559.299;71.532;50.452;38.97
560.289;71.473;50.45;38.967
561.302;71.487;50.451;38.969
562.32;71.518;50.452;38.97
563.319;71.483;50.452;38.969
564.333;71.509;50.451;38.968
565.355;71.517;50.453;38.97
566.341;71.52;50.45;38.967
567.348;71.533;50.451;38.969
568.336;71.505;50.449;38.967
569.328;71.492;50.447;38.964
570.326;71.466;50.449;38.967
571.332;71.469;50.451;38.967
572.324;71.499;50.449;38.968
573.314;71.506;50.449;38.966
574.308;71.58;50.449;38.967
575.309;71.479;50.445;38.964
576.313;71.507;50.447;38.965
577.291;71.496;50.448;38.965
578.278;71.509;50.447;38.965
579.269;71.508;50.445;38.963
580.263;71.496;50.447;38.965
581.261;71.491;50.445;38.963
582.263;71.498;50.444;38.963
583.275;71.496;50.445;38.962
584.29;71.525;50.446;38.964
585.292;71.498;50.447;38.964
586.288;71.511;50.446;38.964
587.29;71.514;50.448;38.966
588.29;71.514;50.445;38.963
589.292;71.497;50.448;38.965
590.272;71.499;50.447;38.964
591.268;71.49;50.445;38.963
592.256;71.499;50.445;38.962
593.253;71.512;50.445;38.963
594.257;71.499;50.446;38.963
595.244;71.504;50.444;38.962
596.242;71.504;50.444;38.962
597.225;71.566;50.443;38.961
598.228;71.482;50.443;38.961
599.236;71.502;50.443;38.96
600.215;71.481;50.441;38.958
601.213;71.503;50.443;38.961
602.208;71.523;50.443;38.961
603.2;71.513;50.441;38.959
604.201;71.476;50.44;38.959
605.203;71.475;50.439;38.957
606.191;71.489;50.441;38.958
607.184;71.468;50.442;38.96
608.183;71.504;50.442;38.959
609.185;71.478;50.442;38.961
610.176;71.52;50.441;38.959
611.201;71.489;50.441;38.959
612.199;71.5;50.439;38.957
613.2;71.514;50.44;38.958
614.211;71.531;50.442;38.959
