IDs:;240715_05_240712D;05_DNAJB6_01_480_uM;
Concentration [uM]:;1.48;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
458.334;57.818;51.67;38.983
459.331;57.808;51.67;38.982
460.326;57.815;51.667;38.979
461.32;57.809;51.674;38.984
462.314;57.825;51.672;38.982
463.331;57.812;51.671;38.98
464.317;57.821;51.672;38.981
465.32;57.802;51.672;38.98
466.316;57.805;51.674;38.982
467.327;57.806;51.674;38.98
468.333;57.796;51.675;38.982
469.342;57.811;51.672;38.977
470.334;57.829;51.672;38.973
471.317;57.82;51.674;38.974
472.301;57.81;51.676;38.976
473.287;57.797;51.676;38.976
474.269;57.812;51.671;38.97
475.273;57.808;51.676;38.975
476.286;57.8;51.675;38.973
477.287;57.805;51.676;38.973
478.291;57.799;51.672;38.97
479.276;57.789;51.676;38.973
480.276;57.785;51.678;38.974
481.261;57.78;51.678;38.973
482.249;57.796;51.678;38.971
483.243;57.781;51.679;38.974
484.263;57.775;51.68;38.971
485.255;57.767;51.684;38.978
486.255;57.759;51.684;38.976
487.259;57.756;51.683;38.974
488.252;57.743;51.683;38.975
489.272;57.751;51.683;38.973
490.27;57.737;51.686;38.976
491.275;57.749;51.683;38.972
492.282;57.734;51.686;38.976
493.274;57.751;51.685;38.971
494.274;57.744;51.687;38.975
495.265;57.728;51.689;38.978
496.263;57.737;51.686;38.972
497.252;57.726;51.689;38.977
498.251;57.725;51.689;38.974
499.264;57.728;51.69;38.975
500.268;57.717;51.691;38.976
501.276;57.717;51.691;38.975
502.266;57.707;51.694;38.976
503.268;57.712;51.691;38.974
504.277;57.699;51.694;38.977
505.264;57.706;51.692;38.973
506.279;57.689;51.696;38.977
507.27;57.698;51.694;38.974
508.275;57.701;51.694;38.974
509.264;57.685;51.697;38.977
510.259;57.697;51.695;38.971
511.265;57.7;51.696;38.972
512.276;57.695;51.695;38.972
513.259;57.687;51.695;38.972
514.249;57.678;51.698;38.975
515.244;57.68;51.697;38.974
516.241;57.686;51.697;38.971
517.22;57.676;51.697;38.972
518.238;57.671;51.698;38.972
519.244;57.668;51.7;38.975
520.245;57.676;51.7;38.972
521.229;57.649;51.702;38.976
522.211;57.676;51.699;38.971
523.211;57.667;51.701;38.972
524.193;57.656;51.699;38.97
525.194;57.646;51.702;38.973
526.188;57.635;51.703;38.975
527.195;57.655;51.7;38.97
528.192;57.651;51.703;38.973
529.176;57.633;51.704;38.975
530.164;57.651;51.702;38.97
531.165;57.629;51.705;38.974
532.158;57.621;51.706;38.977
533.152;57.632;51.704;38.972
534.135;57.644;51.704;38.97
535.116;57.639;51.704;38.971
536.098;57.624;51.706;38.973
537.085;57.622;51.704;38.97
538.081;57.637;51.705;38.969
539.08;57.62;51.707;38.973
540.08;57.621;51.705;38.969
541.087;57.632;51.705;38.968
542.097;57.612;51.706;38.97
543.082;57.61;51.705;38.968
544.072;57.61;51.708;38.97
545.063;57.61;51.708;38.969
546.061;57.607;51.707;38.968
547.078;57.613;51.707;38.967
548.068;57.59;51.71;38.971
549.057;57.599;51.71;38.969
550.052;57.604;51.71;38.969
551.057;57.589;51.71;38.969
552.063;57.592;51.71;38.969
553.077;57.59;51.71;38.968
554.072;57.585;51.711;38.968
555.062;57.585;51.713;38.968
556.066;57.581;51.713;38.97
557.071;57.578;51.713;38.969
558.056;57.577;51.711;38.965
559.033;57.562;51.71;38.965
560.022;57.557;51.714;38.969
561.029;57.558;51.713;38.967
562.027;57.563;51.713;38.965
563.029;57.562;51.715;38.967
564.019;57.559;51.714;38.966
565.026;57.561;51.715;38.966
566.02;57.563;51.715;38.966
567.003;57.545;51.717;38.966
567.986;57.552;51.717;38.966
568.995;57.54;51.721;38.969
570.004;57.544;51.72;38.968
571.02;57.538;51.722;38.97
572.008;57.542;51.721;38.967
573.002;57.532;51.723;38.969
574.004;57.527;51.725;38.971
575.01;57.535;51.724;38.97
575.996;57.521;51.728;38.972
576.984;57.525;51.726;38.969
577.982;57.519;51.725;38.968
578.98;57.52;51.728;38.972
579.986;57.496;51.73;38.976
580.992;57.509;51.73;38.975
582.002;57.496;51.731;38.974
583.015;57.498;51.731;38.974
584.03;57.513;51.731;38.97
585.048;57.507;51.728;38.968
586.056;57.485;51.733;38.974
587.06;57.493;51.733;38.974
588.053;57.511;51.733;38.971
589.066;57.508;51.733;38.971
590.07;57.483;51.736;38.975
591.064;57.478;51.739;38.978
592.046;57.476;51.736;38.975
593.037;57.485;51.738;38.975
594.027;57.493;51.739;38.974
595.014;57.467;51.742;38.979
596.027;57.468;51.742;38.978
597.02;57.458;51.742;38.98
598.024;57.458;51.74;38.976
599.035;57.464;51.74;38.975
600.028;57.462;51.739;38.973
601.024;57.462;51.741;38.975
602.008;57.465;51.743;38.975
602.997;57.455;51.742;38.975
604.006;57.447;51.743;38.976
605.016;57.464;51.74;38.971
606.024;57.444;51.744;38.975
607.002;57.439;51.742;38.974
