IDs:;240716_11_240712I;11_DNAJB6_00_195_uM;
Concentration [uM]:;0.195;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
730.174;71.229;50.427;38.938
731.156;71.239;50.425;38.935
732.149;71.219;50.427;38.937
733.153;71.22;50.428;38.938
734.163;71.213;50.425;38.935
735.179;71.216;50.426;38.936
736.179;71.23;50.425;38.935
737.181;71.21;50.425;38.935
738.188;71.206;50.427;38.936
739.169;71.214;50.425;38.935
740.178;71.177;50.428;38.937
741.185;71.201;50.429;38.938
742.169;71.162;50.428;38.936
743.155;71.195;50.427;38.937
744.15;71.225;50.426;38.935
745.149;71.189;50.426;38.935
746.142;71.21;50.423;38.932
747.133;71.185;50.424;38.934
748.127;71.198;50.425;38.934
749.13;71.206;50.426;38.935
750.135;71.218;50.424;38.933
751.146;71.192;50.425;38.935
752.162;71.2;50.425;38.935
753.152;71.175;50.426;38.934
754.156;71.179;50.424;38.933
755.149;71.18;50.425;38.934
756.148;71.165;50.424;38.932
757.153;71.167;50.427;38.935
758.145;71.19;50.423;38.932
759.152;71.161;50.427;38.934
760.146;71.154;50.427;38.935
761.148;71.146;50.425;38.933
762.137;71.168;50.426;38.934
763.131;71.193;50.426;38.934
764.137;71.166;50.424;38.932
765.13;71.186;50.424;38.932
766.142;71.173;50.422;38.93
767.132;71.164;50.427;38.934
768.142;71.194;50.424;38.931
769.117;71.141;50.426;38.932
770.128;71.149;50.426;38.933
771.14;71.133;50.426;38.933
772.134;71.147;50.426;38.933
773.136;71.142;50.424;38.931
774.146;71.149;50.426;38.933
775.168;71.137;50.424;38.931
776.162;71.146;50.424;38.931
777.163;71.13;50.425;38.932
778.178;71.135;50.426;38.932
779.193;71.147;50.423;38.93
780.182;71.136;50.425;38.932
781.182;71.136;50.425;38.932
782.183;71.144;50.423;38.929
783.186;71.144;50.424;38.931
784.197;71.118;50.426;38.931
785.18;71.111;50.427;38.932
786.165;71.15;50.422;38.929
787.186;71.124;50.425;38.93
788.177;71.157;50.424;38.931
789.176;71.111;50.424;38.929
790.162;71.125;50.421;38.927
791.158;71.116;50.425;38.93
792.137;71.101;50.424;38.93
793.142;71.15;50.42;38.926
794.14;71.107;50.425;38.93
795.139;71.121;50.42;38.925
796.124;71.113;50.422;38.927
797.127;71.095;50.422;38.927
798.12;71.107;50.422;38.926
799.12;71.137;50.419;38.925
800.126;71.089;50.421;38.925
801.131;71.094;50.423;38.928
802.146;71.118;50.418;38.923
803.154;71.093;50.422;38.926
804.142;71.112;50.42;38.925
805.136;71.089;50.419;38.924
806.137;71.097;50.42;38.926
807.145;71.089;50.418;38.922
808.159;71.102;50.419;38.923
809.149;71.079;50.419;38.923
810.15;71.08;50.42;38.924
811.132;71.084;50.423;38.927
812.119;71.062;50.422;38.926
813.111;71.08;50.419;38.923
814.104;71.066;50.421;38.924
815.102;71.085;50.419;38.923
816.104;71.053;50.422;38.925
817.104;71.078;50.422;38.927
818.094;71.078;50.42;38.924
819.087;71.061;50.42;38.923
820.084;71.066;50.421;38.925
821.084;71.055;50.419;38.922
822.086;71.087;50.419;38.922
823.083;71.07;50.421;38.924
824.099;71.073;50.423;38.926
825.085;71.049;50.423;38.926
826.088;71.05;50.421;38.924
827.088;71.052;50.42;38.923
828.078;71.061;50.422;38.925
829.057;71.066;50.419;38.921
830.051;71.035;50.424;38.926
831.056;71.035;50.421;38.924
832.048;71.031;50.422;38.924
833.063;71.032;50.422;38.924
834.072;71.029;50.419;38.921
835.066;71.019;50.423;38.925
836.071;71.005;50.42;38.921
837.087;71.017;50.423;38.924
838.105;71.027;50.422;38.923
839.107;71.067;50.419;38.921
840.094;71.04;50.421;38.923
841.084;71.03;50.422;38.923
842.07;71.009;50.422;38.923
843.082;71.03;50.423;38.924
844.097;71.008;50.424;38.925
845.085;71.014;50.421;38.922
846.081;71.017;50.423;38.924
847.081;71.007;50.42;38.921
848.084;71.02;50.421;38.922
849.102;70.995;50.418;38.919
850.095;71.016;50.42;38.921
851.091;71.01;50.419;38.921
852.086;71.012;50.418;38.919
853.081;70.987;50.421;38.921
854.065;70.99;50.419;38.92
855.073;70.986;50.419;38.92
856.073;70.967;50.42;38.92
857.062;70.983;50.419;38.919
