IDs:;240717_14_240712K;14_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
565.793;71.583;50.445;38.973
566.792;71.549;50.441;38.968
567.797;71.577;50.443;38.97
568.793;71.589;50.446;38.972
569.796;71.572;50.443;38.971
570.8;71.566;50.445;38.972
571.784;71.545;50.443;38.97
572.771;71.568;50.441;38.969
573.762;71.561;50.441;38.968
574.758;71.575;50.443;38.971
575.76;71.556;50.444;38.971
576.767;71.555;50.442;38.969
577.755;71.569;50.442;38.969
578.746;71.565;50.44;38.967
579.742;71.582;50.443;38.971
580.737;71.571;50.443;38.97
581.71;71.564;50.439;38.966
582.706;71.583;50.442;38.969
583.707;71.561;50.44;38.967
584.684;71.599;50.445;38.972
585.675;71.518;50.437;38.964
586.672;71.557;50.443;38.97
587.665;71.555;50.439;38.966
588.673;71.575;50.44;38.967
589.664;71.568;50.44;38.967
590.672;71.543;50.438;38.965
591.664;71.593;50.444;38.971
592.67;71.564;50.44;38.967
593.669;71.569;50.44;38.967
594.675;71.592;50.443;38.97
595.663;71.565;50.437;38.965
596.677;71.554;50.441;38.968
597.687;71.561;50.437;38.965
598.676;71.558;50.44;38.968
599.7;71.567;50.444;38.97
600.702;71.563;50.438;38.966
601.705;71.565;50.438;38.965
602.687;71.562;50.438;38.964
603.675;71.574;50.439;38.967
604.666;71.565;50.437;38.965
605.66;71.568;50.44;38.967
606.657;71.555;50.437;38.965
607.654;71.549;50.438;38.965
608.663;71.582;50.441;38.967
609.654;71.539;50.436;38.963
610.65;71.564;50.439;38.966
611.658;71.567;50.435;38.963
612.647;71.579;50.439;38.966
613.652;71.554;50.436;38.963
614.632;71.604;50.442;38.969
615.64;71.557;50.435;38.962
616.631;71.559;50.437;38.964
617.65;71.594;50.441;38.968
618.649;71.551;50.436;38.963
619.62;71.601;50.439;38.967
620.616;71.587;50.438;38.964
621.619;71.629;50.439;38.967
622.599;71.536;50.436;38.962
623.609;71.587;50.437;38.965
624.599;71.495;50.434;38.96
625.624;71.523;50.436;38.962
626.623;71.557;50.435;38.963
627.632;71.59;50.437;38.965
628.615;71.556;50.435;38.962
629.634;71.604;50.439;38.967
630.627;71.542;50.434;38.96
631.623;71.573;50.437;38.964
632.635;71.566;50.435;38.962
633.649;71.552;50.435;38.962
634.666;71.59;50.437;38.965
635.657;71.576;50.436;38.964
636.653;71.552;50.434;38.962
637.649;71.559;50.434;38.962
638.645;71.539;50.433;38.961
639.664;71.531;50.434;38.96
640.661;71.579;50.434;38.962
641.64;71.566;50.436;38.964
642.65;71.593;50.437;38.964
643.642;71.531;50.433;38.96
644.633;71.576;50.435;38.963
645.637;71.557;50.433;38.96
646.632;71.555;50.436;38.963
647.635;71.559;50.431;38.958
648.628;71.558;50.432;38.96
649.612;71.568;50.435;38.962
650.61;71.536;50.432;38.959
651.584;71.53;50.43;38.957
652.6;71.544;50.43;38.958
653.596;71.547;50.428;38.956
654.579;71.56;50.432;38.959
655.584;71.553;50.432;38.96
656.592;71.518;50.428;38.956
657.581;71.578;50.433;38.961
658.575;71.547;50.43;38.957
659.576;71.574;50.432;38.959
660.58;71.562;50.43;38.958
661.562;71.548;50.43;38.957
662.543;71.517;50.426;38.953
663.553;71.549;50.432;38.959
664.561;71.55;50.429;38.956
665.542;71.525;50.427;38.955
666.562;71.564;50.432;38.958
667.553;71.549;50.427;38.955
668.549;71.559;50.429;38.957
669.549;71.523;50.426;38.953
670.525;71.563;50.429;38.957
671.542;71.579;50.427;38.956
672.533;71.517;50.427;38.953
673.531;71.569;50.429;38.957
674.528;71.556;50.424;38.952
675.522;71.577;50.429;38.956
676.514;71.519;50.422;38.95
677.494;71.598;50.433;38.96
678.503;71.527;50.423;38.951
679.519;71.53;50.426;38.953
680.507;71.555;50.424;38.952
681.508;71.536;50.425;38.953
682.489;71.565;50.426;38.954
683.487;71.521;50.422;38.95
684.492;71.573;50.428;38.956
685.504;71.569;50.425;38.953
686.496;71.524;50.425;38.953
687.503;71.57;50.427;38.955
688.497;71.563;50.423;38.951
689.498;71.599;50.428;38.956
690.503;71.549;50.423;38.95
691.481;71.579;50.428;38.955
692.5;71.544;50.424;38.952
693.501;71.569;50.426;38.953
694.501;71.546;50.426;38.953
695.506;71.55;50.421;38.949
696.511;71.558;50.423;38.952
697.497;71.539;50.42;38.948
698.493;71.557;50.424;38.952
699.499;71.542;50.423;38.951
700.488;71.544;50.422;38.949
701.49;71.564;50.427;38.955
702.503;71.545;50.422;38.949
703.484;71.497;50.419;38.947
704.495;71.552;50.424;38.952
705.504;71.532;50.42;38.948
706.495;71.564;50.423;38.951
707.486;71.528;50.42;38.949
708.478;71.604;50.423;38.951
709.487;71.503;50.42;38.948
710.47;71.564;50.422;38.951
711.468;71.531;50.421;38.949
712.482;71.578;50.425;38.953
713.471;71.558;50.42;38.948
714.467;71.524;50.417;38.946
715.469;71.546;50.417;38.946
716.451;71.555;50.419;38.947
717.437;71.559;50.422;38.95
718.429;71.541;50.419;38.947
719.425;71.547;50.42;38.948
720.409;71.534;50.417;38.945
721.392;71.574;50.417;38.946
722.384;71.548;50.422;38.949
723.382;71.55;50.417;38.946
724.385;71.531;50.419;38.947
725.384;71.542;50.419;38.947
726.374;71.538;50.419;38.946
727.366;71.518;50.415;38.943
728.365;71.555;50.421;38.949
729.367;71.533;50.411;38.94
730.385;71.562;50.418;38.946
731.38;71.5;50.416;38.944
732.397;71.534;50.416;38.944
733.392;71.526;50.417;38.944
734.382;71.531;50.415;38.944
735.387;71.543;50.416;38.944
736.386;71.545;50.417;38.945
737.396;71.58;50.418;38.947
738.393;71.543;50.416;38.944
739.392;71.535;50.416;38.944
740.373;71.539;50.417;38.944
741.358;71.521;50.414;38.942
742.355;71.558;50.415;38.943
743.357;71.558;50.416;38.944
744.346;71.518;50.409;38.938
745.342;71.553;50.414;38.943
746.346;71.516;50.412;38.939
747.349;71.551;50.417;38.946
748.352;71.537;50.415;38.943
749.357;71.547;50.414;38.942
750.373;71.543;50.414;38.941
751.37;71.535;50.412;38.941
752.371;71.552;50.411;38.939
753.375;71.535;50.414;38.942
754.383;71.558;50.41;38.939
755.393;71.557;50.413;38.942
756.375;71.524;50.409;38.937
757.363;71.547;50.412;38.941
758.351;71.543;50.412;38.939
759.347;71.525;50.41;38.938
760.342;71.545;50.413;38.941
761.331;71.543;50.411;38.94
762.325;71.548;50.412;38.94
763.322;71.545;50.413;38.941
764.328;71.538;50.41;38.938
765.305;71.55;50.411;38.94
766.321;71.556;50.413;38.941
767.313;71.528;50.405;38.934
768.314;71.527;50.413;38.941
769.297;71.539;50.409;38.937
770.279;71.541;50.407;38.935
771.292;71.522;50.408;38.936
772.296;71.53;50.405;38.934
773.3;71.547;50.407;38.936
774.289;71.536;50.411;38.94
775.278;71.537;50.411;38.938
776.287;71.543;50.411;38.939
777.276;71.515;50.408;38.936
778.268;71.523;50.409;38.937
779.264;71.502;50.408;38.936
780.27;71.545;50.406;38.935
781.278;71.575;50.412;38.941
782.265;71.543;50.41;38.938
783.257;71.533;50.402;38.931
784.256;71.557;50.409;38.938
785.269;71.546;50.407;38.935
786.252;71.536;50.407;38.935
787.238;71.555;50.407;38.936
788.234;71.553;50.411;38.94
789.236;71.558;50.404;38.933
790.246;71.562;50.411;38.939
791.256;71.556;50.407;38.935
792.268;71.532;50.409;38.936
793.259;71.522;50.408;38.935
794.27;71.54;50.407;38.936
795.275;71.544;50.408;38.936
796.267;71.559;50.408;38.937
797.25;71.534;50.408;38.936
798.24;71.521;50.403;38.932
799.239;71.558;50.409;38.938
800.254;71.556;50.405;38.933
801.259;71.547;50.406;38.935
802.266;71.536;50.409;38.937
803.264;71.536;50.402;38.931
804.272;71.57;50.408;38.936
805.28;71.568;50.402;38.931
806.269;71.542;50.409;38.937
807.285;71.544;50.407;38.935
808.29;71.538;50.406;38.934
809.271;71.545;50.408;38.936
810.289;71.542;50.405;38.934
811.282;71.571;50.401;38.931
812.279;71.544;50.401;38.93
813.269;71.593;50.401;38.931
814.268;71.531;50.4;38.928
815.27;71.554;50.406;38.934
816.272;71.546;50.401;38.93
817.277;71.529;50.398;38.927
818.279;71.555;50.403;38.932
819.275;71.556;50.404;38.933
820.282;71.547;50.403;38.932
821.291;71.541;50.402;38.931
822.302;71.559;50.397;38.927
823.317;71.539;50.396;38.926
824.316;71.549;50.402;38.93
825.313;71.551;50.401;38.929
826.301;71.556;50.4;38.929
827.3;71.561;50.399;38.929
828.302;71.571;50.4;38.929
829.293;71.548;50.404;38.932
830.293;71.573;50.401;38.929
831.289;71.518;50.395;38.924
832.3;71.513;50.397;38.925
833.297;71.561;50.398;38.927
834.296;71.541;50.398;38.927
835.28;71.559;50.4;38.928
836.297;71.524;50.395;38.924
837.283;71.546;50.398;38.927
838.278;71.53;50.4;38.928
