IDs:;240715_04_240712C;04_DNAJB6_02_220_uM;
Concentration [uM]:;2.22;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
772.081;56.641;51.907;38.96
773.069;56.643;51.909;38.962
774.067;56.637;51.91;38.962
775.075;56.643;51.908;38.959
776.066;56.636;51.911;38.962
777.042;56.635;51.912;38.963
778.048;56.627;51.91;38.96
779.034;56.632;51.912;38.962
780.027;56.628;51.912;38.962
781.027;56.629;51.91;38.959
782.03;56.624;51.914;38.963
783.045;56.619;51.912;38.96
784.035;56.618;51.915;38.962
785.029;56.621;51.916;38.964
786.028;56.61;51.914;38.96
787.038;56.613;51.914;38.96
788.05;56.608;51.916;38.963
789.064;56.618;51.914;38.96
790.047;56.597;51.915;38.96
791.036;56.592;51.917;38.962
792.04;56.597;51.917;38.961
793.028;56.591;51.916;38.959
794.019;56.589;51.917;38.962
795.015;56.591;51.918;38.963
796.006;56.586;51.918;38.962
797;56.584;51.919;38.962
797.987;56.583;51.92;38.962
798.981;56.582;51.92;38.961
799.963;56.574;51.919;38.961
800.96;56.587;51.92;38.961
801.962;56.572;51.919;38.959
802.969;56.569;51.921;38.961
803.944;56.57;51.922;38.962
804.953;56.571;51.92;38.959
805.943;56.563;51.922;38.961
806.945;56.575;51.923;38.962
807.949;56.567;51.921;38.959
808.934;56.561;51.922;38.96
809.922;56.549;51.924;38.962
810.916;56.558;51.921;38.958
811.918;56.558;51.922;38.959
812.922;56.56;51.922;38.959
813.899;56.541;51.923;38.96
814.913;56.55;51.923;38.96
815.931;56.541;51.923;38.959
816.94;56.539;51.924;38.958
817.944;56.544;51.922;38.957
818.95;56.543;51.923;38.958
819.961;56.548;51.922;38.955
820.984;56.542;51.922;38.955
821.972;56.545;51.923;38.956
822.964;56.535;51.924;38.958
823.958;56.525;51.924;38.956
824.959;56.54;51.922;38.954
825.966;56.525;51.924;38.954
826.956;56.525;51.927;38.958
827.939;56.53;51.926;38.957
828.93;56.523;51.929;38.96
829.929;56.52;51.926;38.956
830.941;56.521;51.928;38.959
831.917;56.52;51.928;38.959
832.905;56.52;51.925;38.955
833.905;56.514;51.928;38.958
834.903;56.517;51.928;38.957
835.891;56.506;51.927;38.955
836.887;56.508;51.929;38.956
837.89;56.51;51.928;38.956
838.874;56.502;51.928;38.955
839.861;56.504;51.93;38.956
840.856;56.511;51.929;38.955
841.848;56.495;51.928;38.954
842.838;56.496;51.929;38.954
843.834;56.504;51.929;38.953
844.837;56.501;51.929;38.954
845.849;56.49;51.932;38.957
846.838;56.495;51.929;38.953
847.835;56.496;51.931;38.955
848.837;56.485;51.934;38.958
