IDs:;240714_01_240712A;01_DNAJB6_05_000_uM;
Concentration [uM]:;5;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
734.864;56.598;51.85;38.888
735.857;56.598;51.85;38.889
736.852;56.59;51.852;38.892
737.849;56.601;51.848;38.886
738.856;56.593;51.851;38.888
739.845;56.587;51.852;38.888
740.855;56.54;51.847;38.885
741.836;56.588;51.852;38.888
742.845;56.57;51.853;38.89
743.856;56.569;51.853;38.89
744.873;56.581;51.853;38.887
745.863;56.571;51.853;38.887
746.874;56.537;51.85;38.884
747.862;56.569;51.855;38.889
748.852;56.561;51.851;38.883
749.848;56.571;51.854;38.887
750.85;56.529;51.849;38.881
751.827;56.563;51.856;38.887
752.817;56.553;51.855;38.887
753.81;56.513;51.853;38.885
754.811;56.562;51.854;38.884
755.815;56.553;51.855;38.885
756.825;56.558;51.855;38.884
757.807;56.546;51.856;38.886
758.794;56.55;51.858;38.887
759.783;56.512;51.853;38.882
760.782;56.546;51.858;38.886
761.781;56.503;51.855;38.883
762.784;56.538;51.857;38.884
763.789;56.543;51.857;38.883
764.797;56.539;51.859;38.884
765.781;56.528;51.857;38.884
766.788;56.521;51.858;38.883
767.792;56.484;51.856;38.881
768.798;56.488;51.856;38.88
769.797;56.487;51.858;38.881
770.796;56.48;51.858;38.88
771.786;56.475;51.858;38.88
772.778;56.51;51.864;38.886
773.795;56.508;51.863;38.884
774.797;56.515;51.863;38.884
775.798;56.465;51.862;38.882
776.808;56.47;51.863;38.883
777.802;56.469;51.862;38.881
778.786;56.5;51.865;38.884
779.793;56.499;51.866;38.885
780.803;56.493;51.866;38.886
781.835;56.495;51.865;38.884
782.844;56.444;51.865;38.884
783.834;56.447;51.866;38.883
784.826;56.491;51.867;38.884
785.825;56.49;51.87;38.886
786.808;56.478;51.869;38.884
787.795;56.434;51.865;38.881
788.789;56.436;51.866;38.882
789.809;56.483;51.871;38.885
790.823;56.442;51.864;38.878
791.845;56.47;51.873;38.887
792.836;56.424;51.867;38.881
793.836;56.471;51.873;38.886
794.841;56.472;51.871;38.883
795.853;56.468;51.876;38.888
796.867;56.465;51.873;38.884
797.884;56.417;51.87;38.881
798.875;56.414;51.871;38.882
799.874;56.414;51.873;38.883
800.872;56.473;51.875;38.882
801.872;56.415;51.873;38.883
802.875;56.413;51.871;38.881
803.882;56.411;51.873;38.882
804.876;56.418;51.872;38.878
805.853;56.459;51.876;38.881
806.852;56.459;51.879;38.884
807.83;56.407;51.875;38.882
808.83;56.414;51.874;38.878
809.819;56.405;51.874;38.88
810.824;56.4;51.874;38.88
811.835;56.406;51.874;38.878
812.845;56.405;51.875;38.878
813.839;56.391;51.877;38.882
814.83;56.395;51.876;38.881
815.834;56.433;51.881;38.884
816.846;56.396;51.876;38.878
817.839;56.397;51.875;38.876
818.827;56.431;51.881;38.884
819.82;56.401;51.876;38.877
820.819;56.393;51.875;38.875
821.809;56.389;51.876;38.876
822.807;56.392;51.877;38.877
823.808;56.386;51.876;38.875
824.819;56.434;51.882;38.88
825.805;56.379;51.877;38.877
826.794;56.387;51.877;38.875
827.79;56.42;51.884;38.884
828.79;56.384;51.877;38.874
829.798;56.426;51.884;38.881
830.777;56.416;51.884;38.882
831.792;56.378;51.879;38.875
832.78;56.372;51.88;38.879
833.776;56.42;51.884;38.879
834.776;56.417;51.885;38.88
835.781;56.371;51.88;38.874
836.788;56.367;51.883;38.878
837.801;56.372;51.881;38.874
838.806;56.368;51.882;38.875
839.801;56.368;51.881;38.874
840.803;56.364;51.885;38.876
841.803;56.366;51.882;38.873
842.8;56.359;51.885;38.877
843.774;56.359;51.886;38.876
844.778;56.36;51.884;38.874
845.775;56.353;51.886;38.876
846.791;56.357;51.885;38.874
847.806;56.359;51.886;38.876
848.797;56.395;51.891;38.88
849.795;56.398;51.891;38.88
850.805;56.344;51.887;38.875
851.804;56.349;51.888;38.875
852.815;56.346;51.887;38.875
853.806;56.339;51.888;38.875
854.81;56.331;51.892;38.88
855.792;56.327;51.891;38.877
856.777;56.34;51.889;38.874
