IDs:;240716_10_240712H;10_DNAJB6_00_293_uM;
Concentration [uM]:;0.293;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
766.6;64.437;50.837;38.937
767.596;64.421;50.836;38.935
768.588;64.412;50.839;38.937
769.582;64.404;50.84;38.937
770.588;64.371;50.842;38.938
771.596;64.374;50.841;38.936
772.575;64.373;50.841;38.936
773.585;64.342;50.844;38.938
774.595;64.34;50.842;38.935
775.589;64.335;50.843;38.936
776.583;64.319;50.844;38.935
777.577;64.311;50.844;38.935
778.577;64.289;50.847;38.936
779.555;64.276;50.849;38.938
780.569;64.267;50.85;38.937
781.558;64.24;50.851;38.938
782.559;64.248;50.85;38.936
783.568;64.226;50.851;38.937
784.581;64.208;50.853;38.937
785.569;64.206;50.853;38.937
786.561;64.196;50.854;38.937
787.562;64.194;50.853;38.936
788.538;64.176;50.855;38.936
789.518;64.185;50.856;38.937
790.536;64.154;50.856;38.935
791.559;64.163;50.857;38.936
792.554;64.148;50.857;38.935
793.557;64.136;50.858;38.936
794.549;64.13;50.858;38.933
795.535;64.114;50.857;38.932
796.528;64.121;50.858;38.933
797.523;64.119;50.861;38.935
798.504;64.098;50.86;38.933
799.499;64.092;50.861;38.934
800.478;64.084;50.861;38.933
801.486;64.087;50.86;38.931
802.493;64.067;50.862;38.932
803.489;64.056;50.862;38.931
804.499;64.052;50.863;38.932
805.497;64.054;50.862;38.931
806.487;64.031;50.862;38.929
807.485;64.024;50.865;38.932
808.482;64.016;50.864;38.93
809.489;64.007;50.865;38.93
810.498;64.013;50.863;38.928
811.503;63.988;50.866;38.929
812.495;63.985;50.866;38.929
813.483;63.987;50.867;38.929
814.494;63.965;50.868;38.93
815.484;63.961;50.867;38.928
816.48;63.948;50.868;38.928
817.484;63.942;50.869;38.929
818.458;63.91;50.869;38.928
819.456;63.913;50.87;38.928
820.46;63.875;50.871;38.928
821.467;63.864;50.871;38.927
822.45;63.874;50.873;38.929
823.44;63.864;50.875;38.929
824.44;63.855;50.874;38.927
825.447;63.839;50.875;38.928
826.457;63.799;50.872;38.924
827.47;63.814;50.875;38.927
828.456;63.796;50.874;38.926
829.446;63.768;50.875;38.925
830.425;63.765;50.874;38.924
831.418;63.745;50.876;38.925
832.408;63.731;50.874;38.922
833.408;63.741;50.877;38.924
834.388;63.738;50.876;38.924
835.384;63.723;50.877;38.923
836.401;63.709;50.878;38.924
837.384;63.691;50.878;38.923
838.38;63.68;50.877;38.921
839.396;63.671;50.881;38.924
840.413;63.671;50.879;38.922
841.409;63.664;50.88;38.922
