IDs:;240911_03_240712D;15_b01_DNAJB6_00_087_uM;
Concentration [uM]:;0.087;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
610.659;71.68;49.907;38.412
611.654;71.668;49.909;38.414
612.634;71.643;49.91;38.414
613.633;71.702;49.907;38.413
614.617;71.68;49.908;38.414
615.602;71.681;49.91;38.416
616.578;71.698;49.906;38.412
617.582;71.685;49.908;38.414
618.601;71.687;49.909;38.414
619.601;71.683;49.909;38.415
620.613;71.69;49.911;38.416
621.622;71.695;49.906;38.412
622.617;71.677;49.909;38.414
623.615;71.683;49.908;38.414
624.618;71.696;49.907;38.413
625.626;71.675;49.909;38.414
626.64;71.676;49.908;38.413
627.639;71.67;49.911;38.417
628.643;71.676;49.908;38.413
629.65;71.686;49.908;38.414
630.632;71.68;49.91;38.416
631.619;71.692;49.909;38.416
632.611;71.691;49.908;38.414
633.612;71.681;49.909;38.415
634.615;71.683;49.906;38.412
635.623;71.696;49.909;38.415
636.634;71.702;49.907;38.412
637.647;71.678;49.91;38.415
638.635;71.691;49.91;38.415
639.624;71.679;49.908;38.414
640.636;71.67;49.909;38.415
641.631;71.654;49.903;38.409
642.627;71.67;49.908;38.414
643.623;71.686;49.908;38.413
644.599;71.702;49.909;38.415
645.615;71.698;49.908;38.414
646.613;71.695;49.907;38.413
647.621;71.693;49.906;38.412
648.618;71.669;49.907;38.413
649.601;71.664;49.909;38.414
650.595;71.708;49.903;38.41
651.609;71.69;49.908;38.415
652.611;71.67;49.908;38.412
653.63;71.668;49.909;38.415
654.627;71.687;49.907;38.413
655.643;71.667;49.908;38.414
656.644;71.663;49.908;38.413
657.651;71.665;49.909;38.414
658.635;71.665;49.909;38.414
659.624;71.694;49.906;38.412
660.639;71.678;49.907;38.412
661.623;71.682;49.907;38.413
662.616;71.669;49.906;38.411
663.613;71.696;49.906;38.411
664.613;71.696;49.911;38.417
665.596;71.69;49.906;38.411
666.585;71.696;49.906;38.412
667.576;71.65;49.903;38.408
668.57;71.687;49.907;38.413
669.569;71.688;49.905;38.411
670.573;71.69;49.904;38.41
671.578;71.695;49.906;38.413
672.589;71.666;49.908;38.413
673.602;71.682;49.903;38.409
674.588;71.675;49.905;38.41
675.577;71.695;49.906;38.412
676.572;71.687;49.907;38.413
677.549;71.702;49.905;38.41
678.561;71.68;49.906;38.411
679.556;71.676;49.906;38.411
680.554;71.687;49.904;38.41
681.54;71.679;49.905;38.41
682.534;71.648;49.906;38.411
683.537;71.674;49.905;38.41
684.527;71.691;49.905;38.41
685.535;71.682;49.905;38.41
686.538;71.684;49.904;38.411
687.544;71.69;49.905;38.411
688.54;71.69;49.905;38.411
689.549;71.679;49.905;38.41
690.535;71.637;49.907;38.412
691.552;71.682;49.904;38.41
692.541;71.674;49.905;38.411
693.535;71.666;49.907;38.412
694.535;71.69;49.905;38.41
695.541;71.661;49.907;38.412
696.552;71.683;49.905;38.41
697.539;71.683;49.906;38.412
698.53;71.704;49.908;38.414
699.527;71.684;49.91;38.416
700.529;71.671;49.907;38.412
701.521;71.683;49.907;38.412
