IDs:;240716_09_240712G;09_DNAJB6_00_439_uM;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
513.404;62.586;51.044;38.983
514.408;62.565;51.045;38.983
515.393;62.577;51.044;38.982
516.387;62.547;51.048;38.985
517.385;62.562;51.046;38.982
518.378;62.544;51.047;38.983
519.37;62.556;51.045;38.981
520.367;62.542;51.046;38.981
521.368;62.534;51.05;38.984
522.355;62.536;51.047;38.981
523.373;62.523;51.05;38.983
524.371;62.53;51.049;38.982
525.379;62.51;51.051;38.983
526.372;62.479;51.056;38.987
527.384;62.488;51.054;38.985
528.372;62.473;51.058;38.987
529.368;62.472;51.056;38.985
530.369;62.471;51.058;38.986
531.349;62.468;51.057;38.986
532.337;62.47;51.058;38.986
533.331;62.443;51.059;38.985
534.331;62.438;51.06;38.986
535.321;62.433;51.059;38.984
536.316;62.432;51.057;38.982
537.318;62.442;51.057;38.983
538.321;62.427;51.061;38.985
539.328;62.433;51.061;38.984
540.342;62.413;51.062;38.984
541.329;62.401;51.065;38.987
542.319;62.408;51.06;38.982
543.311;62.412;51.063;38.985
544.308;62.388;51.064;38.985
545.306;62.351;51.06;38.98
546.298;62.381;51.064;38.984
547.294;62.377;51.065;38.984
548.307;62.361;51.065;38.984
549.311;62.357;51.064;38.982
550.308;62.32;51.064;38.981
551.323;62.345;51.065;38.983
552.32;62.334;51.065;38.982
553.301;62.328;51.067;38.983
554.302;62.334;51.066;38.982
555.287;62.321;51.066;38.981
556.28;62.335;51.064;38.98
557.286;62.275;51.064;38.978
558.285;62.327;51.068;38.982
559.27;62.32;51.066;38.98
560.259;62.311;51.067;38.98
561.243;62.304;51.067;38.979
562.233;62.305;51.066;38.979
563.256;62.305;51.067;38.979
564.237;62.29;51.067;38.978
565.218;62.303;51.068;38.979
566.206;62.292;51.068;38.979
567.212;62.276;51.069;38.979
568.201;62.277;51.069;38.978
569.195;62.265;51.069;38.978
570.204;62.26;51.07;38.978
571.217;62.242;51.069;38.977
572.203;62.242;51.07;38.978
573.195;62.25;51.069;38.977
574.189;62.23;51.071;38.978
575.186;62.223;51.069;38.975
576.187;62.225;51.071;38.977
577.181;62.225;51.07;38.975
578.179;62.228;51.073;38.977
579.17;62.202;51.074;38.978
580.176;62.198;51.072;38.974
581.176;62.214;51.073;38.976
582.174;62.177;51.074;38.976
583.175;62.187;51.074;38.976
584.168;62.179;51.073;38.975
585.156;62.178;51.073;38.974
586.141;62.179;51.07;38.97
587.137;62.173;51.074;38.974
588.146;62.169;51.072;38.972
589.132;62.159;51.077;38.977
590.126;62.156;51.076;38.976
591.127;62.116;51.077;38.975
592.136;62.124;51.078;38.975
593.151;62.129;51.076;38.974
594.15;62.109;51.076;38.973
595.132;62.132;51.076;38.973
596.144;62.1;51.079;38.975
597.161;62.084;51.08;38.975
598.152;62.088;51.079;38.974
599.15;62.102;51.079;38.973
600.15;62.086;51.08;38.974
601.128;62.067;51.081;38.976
602.14;62.059;51.08;38.973
603.124;62.055;51.081;38.974
604.129;62.066;51.083;38.975
605.13;62.051;51.08;38.972
606.126;62.022;51.082;38.973
607.123;62.037;51.081;38.971
608.129;62.044;51.081;38.972
609.124;62.017;51.081;38.971
610.129;62.037;51.083;38.973
611.111;62.006;51.081;38.97
612.126;62.014;51.081;38.97
613.13;62.003;51.082;38.97
614.14;61.992;51.082;38.97
615.132;62.006;51.083;38.97
616.111;61.994;51.083;38.97
617.11;61.973;51.082;38.968
618.121;61.967;51.083;38.969
619.111;61.974;51.081;38.967
620.107;61.971;51.082;38.967
621.115;61.969;51.083;38.968
622.097;61.969;51.081;38.966
623.09;61.958;51.084;38.968
624.088;61.954;51.083;38.967
625.068;61.941;51.081;38.965
626.051;61.943;51.083;38.965
627.07;61.945;51.083;38.966
628.062;61.935;51.083;38.965
629.057;61.94;51.085;38.967
630.062;61.923;51.083;38.964
631.069;61.927;51.086;38.967
632.05;61.92;51.086;38.966
633.065;61.912;51.083;38.964
634.082;61.902;51.084;38.963
635.072;61.911;51.082;38.962
636.066;61.909;51.083;38.962
637.066;61.898;51.084;38.963
638.065;61.894;51.085;38.964
639.066;61.882;51.083;38.961
640.064;61.868;51.088;38.963
641.048;61.877;51.087;38.964
642.057;61.89;51.083;38.96
643.049;61.878;51.087;38.963
644.047;61.877;51.086;38.962
645.054;61.887;51.087;38.963
646.05;61.86;51.088;38.963
647.04;61.859;51.087;38.961
648.039;61.86;51.088;38.962
649.026;61.842;51.089;38.962
650.018;61.842;51.088;38.96
651.035;61.852;51.088;38.961
652.027;61.852;51.087;38.96
653.033;61.844;51.088;38.961
654.02;61.842;51.089;38.961
655.015;61.835;51.088;38.96
656.015;61.844;51.087;38.959
657.023;61.825;51.088;38.958
658.011;61.822;51.089;38.96
659.003;61.818;51.089;38.959
659.998;61.807;51.089;38.959
660.998;61.821;51.091;38.96
661.994;61.817;51.089;38.958
662.985;61.797;51.09;38.958
663.981;61.815;51.09;38.959
664.986;61.797;51.09;38.958
665.998;61.792;51.092;38.959
667.008;61.798;51.091;38.957
667.993;61.788;51.092;38.958
668.983;61.791;51.091;38.957
669.974;61.78;51.089;38.955
670.973;61.789;51.091;38.957
671.974;61.784;51.092;38.957
672.978;61.77;51.093;38.957
673.974;61.782;51.093;38.957
674.967;61.754;51.093;38.956
675.982;61.768;51.095;38.958
676.982;61.771;51.091;38.955
678;61.752;51.093;38.956
679.015;61.752;51.095;38.958
680.016;61.74;51.096;38.957
681.029;61.741;51.095;38.957
682.045;61.742;51.094;38.955
683.04;61.74;51.098;38.959
684.019;61.716;51.099;38.959
685.001;61.73;51.097;38.957
686.01;61.715;51.1;38.959
687.003;61.719;51.1;38.958
688.01;61.713;51.099;38.958
688.992;61.714;51.099;38.958
689.981;61.718;51.1;38.958
690.976;61.712;51.098;38.956
691.977;61.695;51.101;38.959
692.959;61.693;51.103;38.96
693.951;61.678;51.102;38.958
694.944;61.679;51.104;38.96
695.927;61.677;51.102;38.958
696.909;61.68;51.105;38.96
697.928;61.675;51.102;38.957
698.92;61.681;51.102;38.957
699.918;61.665;51.103;38.957
700.922;61.651;51.107;38.961
701.933;61.648;51.105;38.958
702.933;61.639;51.106;38.959
703.926;61.65;51.104;38.957
704.923;61.641;51.106;38.958
705.923;61.649;51.105;38.958
706.928;61.622;51.106;38.957
707.923;61.631;51.107;38.959
708.922;61.614;51.107;38.957
709.924;61.629;51.107;38.958
710.917;61.627;51.108;38.958
711.892;61.608;51.108;38.957
712.881;61.604;51.109;38.957
713.87;61.615;51.109;38.958
714.869;61.608;51.108;38.957
715.845;61.598;51.108;38.956
716.837;61.617;51.107;38.955
717.814;61.607;51.108;38.956
718.806;61.595;51.109;38.956
719.8;61.594;51.108;38.954
720.78;61.582;51.11;38.956
721.79;61.579;51.111;38.957
722.771;61.58;51.111;38.957
723.786;61.588;51.111;38.956
724.769;61.584;51.11;38.956
725.778;61.577;51.108;38.953
726.776;61.567;51.11;38.955
727.771;61.565;51.108;38.952
728.771;61.562;51.112;38.955
729.776;61.56;51.109;38.952
730.756;61.562;51.109;38.952
731.739;61.542;51.111;38.953
732.725;61.56;51.11;38.954
733.716;61.548;51.111;38.953
734.743;61.544;51.113;38.955
735.743;61.541;51.111;38.952
736.72;61.545;51.11;38.952
737.716;61.532;51.113;38.954
738.722;61.516;51.113;38.952
739.709;61.529;51.113;38.953
740.709;61.514;51.115;38.954
741.701;61.515;51.113;38.952
742.696;61.523;51.114;38.953
743.678;61.522;51.115;38.954
744.672;61.505;51.114;38.952
745.667;61.504;51.113;38.951
746.666;61.516;51.114;38.952
747.661;61.511;51.111;38.948
748.667;61.501;51.117;38.954
749.65;61.512;51.116;38.953
750.642;61.499;51.113;38.949
751.647;61.505;51.115;38.951
752.627;61.502;51.115;38.951
753.62;61.498;51.113;38.948
754.595;61.495;51.114;38.949
755.609;61.505;51.116;38.951
756.604;61.492;51.116;38.95
757.604;61.491;51.115;38.949
758.579;61.485;51.116;38.95
759.56;61.49;51.114;38.948
760.576;61.478;51.115;38.949
761.567;61.48;51.117;38.95
762.564;61.465;51.116;38.948
763.563;61.464;51.117;38.95
764.567;61.459;51.116;38.947
765.576;61.457;51.117;38.949
766.589;61.456;51.118;38.949
767.605;61.444;51.12;38.951
768.605;61.453;51.119;38.95
769.588;61.45;51.119;38.949
770.567;61.452;51.122;38.952
771.56;61.443;51.119;38.949
772.568;61.449;51.12;38.95
773.541;61.441;51.122;38.951
774.529;61.438;51.123;38.951
775.531;61.435;51.123;38.951
776.53;61.437;51.121;38.949
777.532;61.44;51.12;38.948
778.519;61.423;51.123;38.95
779.518;61.432;51.121;38.948
780.505;61.427;51.122;38.948
781.495;61.421;51.122;38.947
782.485;61.418;51.123;38.949
783.486;61.423;51.123;38.949
784.497;61.421;51.124;38.949
785.495;61.419;51.123;38.949
786.497;61.409;51.125;38.95
787.519;61.399;51.125;38.949
788.508;61.395;51.125;38.949
789.5;61.402;51.125;38.948
790.499;61.387;51.125;38.949
791.507;61.394;51.126;38.949
792.515;61.364;51.13;38.951
793.524;61.377;51.127;38.949
794.529;61.372;51.128;38.949
795.54;61.392;51.125;38.947
796.551;61.37;51.128;38.949
797.564;61.37;51.127;38.947
798.552;61.37;51.128;38.95
799.545;61.358;51.131;38.951
800.538;61.36;51.128;38.948
801.54;61.36;51.13;38.95
802.541;61.362;51.128;38.948
803.547;61.335;51.132;38.951
804.557;61.328;51.133;38.95
805.549;61.332;51.132;38.95
806.545;61.319;51.134;38.951
807.556;61.324;51.132;38.949
808.556;61.325;51.132;38.95
809.564;61.327;51.131;38.948
810.55;61.311;51.134;38.95
811.552;61.313;51.134;38.95
812.561;61.319;51.133;38.949
813.558;61.312;51.134;38.95
814.542;61.31;51.134;38.949
815.552;61.307;51.135;38.95
816.563;61.302;51.134;38.949
817.545;61.304;51.133;38.947
818.557;61.291;51.135;38.948
819.554;61.297;51.135;38.949
820.551;61.286;51.136;38.949
821.564;61.281;51.137;38.95
822.548;61.278;51.138;38.951
823.547;61.275;51.136;38.948
824.555;61.264;51.138;38.95
825.537;61.273;51.138;38.95
826.523;61.267;51.137;38.949
827.515;61.252;51.139;38.95
828.513;61.265;51.138;38.948
829.516;61.268;51.138;38.949
830.525;61.26;51.139;38.949
831.545;61.272;51.138;38.948
832.535;61.255;51.137;38.947
833.53;61.262;51.136;38.945
834.532;61.251;51.137;38.947
835.536;61.241;51.138;38.946
836.514;61.24;51.138;38.946
837.515;61.253;51.14;38.948
838.51;61.238;51.138;38.946
839.493;61.231;51.137;38.944
840.487;61.228;51.139;38.946
841.478;61.225;51.139;38.945
842.453;61.225;51.14;38.947
843.475;61.231;51.14;38.947
844.475;61.21;51.139;38.944
845.452;61.219;51.14;38.946
846.46;61.211;51.143;38.948
847.455;61.199;51.141;38.946
848.456;61.212;51.142;38.947
849.448;61.203;51.142;38.947
850.461;61.189;51.142;38.946
851.444;61.196;51.142;38.945
852.435;61.203;51.142;38.945
853.431;61.199;51.142;38.945
854.441;61.218;51.143;38.946
855.425;61.192;51.142;38.944
856.416;61.189;51.142;38.944
857.409;61.198;51.145;38.947
