IDs:;240814 04_240812A_elasticity2;04_DNAJB6_00_439_uM_expansion_corrected;
Concentration [uM]:;0.439;;
Time [s];Surface tension [mJ/m^2];Area [mm^2];Volume [mm^3]
486.85;63.3125844571356;26.951;17.272
487.868;63.2193374318612;26.944;17.269
488.882;62.998086414011;26.949;17.27
489.865;63.3558354224364;26.949;17.271
490.856;62.7485844571356;26.952;17.272
491.85;63.312086414011;26.946;17.27
492.847;62.6378354224364;26.953;17.271
493.847;63.0888395463949;26.944;17.267
494.849;63.163086414011;26.948;17.27
495.841;63.0773374318612;26.948;17.269
496.835;62.463086414011;26.95;17.27
497.834;63.1243374318612;26.948;17.269
498.832;63.1538395463949;26.943;17.267
499.834;62.9228354224364;26.951;17.271
500.823;62.779086414011;26.949;17.27
501.827;62.8118395463949;26.947;17.267
502.822;62.8053374318612;26.948;17.269
503.806;63.0955884759886;26.947;17.268
504.798;63.2433374318612;26.947;17.269
505.792;62.9168395463949;26.944;17.267
506.794;62.4380906430818;26.944;17.266
507.777;63.2815884759886;26.946;17.268
508.773;62.7180906430818;26.943;17.266
509.772;62.9073417660511;26.942;17.265
510.779;63.0328440908435;26.939;17.263
511.77;62.5003374318612;26.949;17.269
512.77;63.438086414011;26.947;17.27
513.775;63.5208395463949;26.943;17.267
514.763;62.1325884759886;26.949;17.268
515.755;62.7808354224364;26.95;17.271
516.758;62.5503374318612;26.95;17.269
517.738;63.0685884759886;26.947;17.268
518.735;62.8988354224364;26.951;17.271
519.732;63.213086414011;26.949;17.27
520.733;62.691086414011;26.948;17.27
521.739;62.9918395463949;26.944;17.267
522.757;63.2015844571356;26.951;17.272
523.745;62.5505884759886;26.947;17.268
524.743;63.0743374318612;26.947;17.269
525.741;62.8360826053488;26.954;17.274
526.743;62.596333518107;26.954;17.273
527.748;62.825333518107;26.954;17.273
528.756;63.1525844571356;26.951;17.272
529.767;62.4998354224364;26.951;17.271
530.785;62.5043374318612;26.948;17.269
531.773;62.737086414011;26.949;17.27
532.766;62.6958317188594;26.957;17.275
533.763;62.4598354224364;26.95;17.271
534.738;62.8898317188594;26.955;17.275
535.733;62.3498354224364;26.95;17.271
536.724;63.2698354224364;26.948;17.271
537.71;62.672333518107;26.955;17.273
538.705;62.570086414011;26.949;17.27
539.691;62.9680826053488;26.955;17.274
540.688;63.1260826053488;26.954;17.274
541.681;62.9888317188594;26.955;17.275
542.673;62.8745844571356;26.951;17.272
543.674;62.646333518107;26.952;17.273
544.687;63.12633002468;26.958;17.277
545.689;63.138333518107;26.951;17.273
546.695;62.739333518107;26.952;17.273
547.703;62.5858317188594;26.955;17.275
548.713;62.5360826053488;26.956;17.274
549.712;63.0140826053488;26.952;17.274
550.719;62.4095844571356;26.952;17.272
551.715;62.3820826053488;26.954;17.274
552.71;62.3780792169866;26.961;17.278
553.716;62.5828317188594;26.956;17.275
554.706;62.567333518107;26.952;17.273
555.695;63.3388317188594;26.953;17.275
556.692;62.545333518107;26.953;17.273
557.698;62.5588317188594;26.955;17.275
558.686;62.9698284355552;26.96;17.279
559.675;62.8780826053488;26.953;17.274
560.673;62.6010826053488;26.954;17.274
561.671;62.3810826053488;26.955;17.274
562.676;62.434333518107;26.953;17.273
563.681;62.928333518107;26.951;17.273
564.688;62.5955844571356;26.951;17.272
565.701;62.4520826053488;26.954;17.274
566.688;62.7600792169866;26.96;17.278
567.709;62.5988317188594;26.954;17.275
568.708;62.1818317188594;26.957;17.275
569.707;62.7298317188594;26.957;17.275
570.699;62.5880826053488;26.953;17.274
571.679;62.424333518107;26.954;17.273
572.672;62.6775844571356;26.952;17.272
573.68;62.5328317188594;26.956;17.275
574.677;62.6388317188594;26.956;17.275
575.667;62.0005844571356;26.955;17.272
576.649;62.5840826053488;26.954;17.274
577.641;62.2930826053488;26.955;17.274
578.64;62.582333518107;26.953;17.273
579.65;62.439333518107;26.953;17.273
580.656;62.9988317188594;26.955;17.275
581.662;62.83933002468;26.958;17.277
582.679;62.509333518107;26.953;17.273
583.674;62.549333518107;26.953;17.273
584.691;62.426333518107;26.954;17.273
585.685;62.3798354224364;26.951;17.271
586.685;62.512333518107;26.954;17.273
587.66;62.4838317188594;26.956;17.275
588.64;62.5810826053488;26.954;17.274
589.625;62.582580858637;26.959;17.276
590.62;62.446333518107;26.954;17.273
591.617;62.681580858637;26.956;17.276
592.625;62.2868317188594;26.958;17.275
593.642;62.4560826053488;26.955;17.274
594.644;62.5630826053488;26.957;17.274
595.646;62.600580858637;26.959;17.276
596.652;62.4105844571356;26.952;17.272
597.66;62.97233002468;26.958;17.277
598.673;62.620333518107;26.953;17.273
599.67;62.44433002468;26.96;17.277
600.652;62.469580858637;26.957;17.276
601.644;62.4500826053488;26.955;17.274
602.639;62.5710826053488;26.955;17.274
603.642;62.5940792169866;26.961;17.278
604.653;62.4450792169866;26.961;17.278
605.629;62.48633002468;26.96;17.277
606.613;62.5650826053488;26.954;17.274
607.613;62.275580858637;26.96;17.276
608.599;62.2945844571356;26.952;17.272
609.593;62.1320826053488;26.956;17.274
610.59;62.1218317188594;26.957;17.275
611.591;62.2010826053488;26.956;17.274
612.573;62.5078317188594;26.956;17.275
613.56;62.40633002468;26.959;17.277
614.555;61.9868317188594;26.959;17.275
615.554;62.47433002468;26.96;17.277
616.55;61.995580858637;26.959;17.276
617.552;62.660333518107;26.953;17.273
618.565;62.7510792169866;26.96;17.278
619.566;61.9000826053488;26.957;17.274
620.569;62.3178284355552;26.963;17.279
621.583;62.2660826053488;26.955;17.274
622.57;62.3138317188594;26.957;17.275
623.549;62.118333518107;26.955;17.273
624.557;62.48433002468;26.96;17.277
625.539;61.788333518107;26.957;17.273
626.526;62.0990826053488;26.956;17.274
627.515;62.1568317188594;26.957;17.275
628.541;62.4825844571356;26.953;17.272
629.538;62.2170792169866;26.962;17.278
630.539;62.0600826053488;26.956;17.274
631.542;62.0820826053488;26.957;17.274
632.517;62.2040826053488;26.956;17.274
633.526;62.464580858637;26.959;17.276
634.538;62.46733002468;26.961;17.277
635.556;62.1320826053488;26.957;17.274
636.543;62.2400792169866;26.962;17.278
637.536;62.291333518107;26.955;17.273
638.53;62.272580858637;26.96;17.276
639.53;62.3508354224364;26.952;17.271
640.542;62.059333518107;26.955;17.273
641.536;62.1088354224364;26.953;17.271
642.519;61.8895844571356;26.955;17.272
643.528;62.3025844571356;26.953;17.272
644.535;62.3255844571356;26.953;17.272
645.553;61.9935844571356;26.954;17.272
646.543;62.1175844571356;26.955;17.272
647.536;62.0520826053488;26.957;17.274
648.524;62.5055844571356;26.952;17.272
649.518;62.2485844571356;26.954;17.272
650.527;62.244580858637;26.961;17.276
651.51;62.5138317188594;26.958;17.275
652.498;62.250086414011;26.952;17.27
653.478;62.5068354224364;26.952;17.271
654.466;62.2138354224364;26.953;17.271
655.462;62.0808354224364;26.954;17.271
656.464;62.1328354224364;26.952;17.271
657.449;62.4215844571356;26.956;17.272
658.438;62.6968317188594;26.958;17.275
659.437;62.413086414011;26.95;17.27
660.441;61.8558354224364;26.955;17.271
661.452;62.2968317188594;26.958;17.275
662.461;62.2528354224364;26.952;17.271
663.464;61.883333518107;26.956;17.273
664.446;61.9738354224364;26.954;17.271
665.431;62.5028354224364;26.951;17.271
666.42;61.9818354224364;26.953;17.271
667.412;61.9858354224364;26.954;17.271
668.407;62.123086414011;26.952;17.27
669.406;62.3900826053488;26.958;17.274
670.408;61.8895844571356;26.954;17.272
671.417;62.1963374318612;26.951;17.269
672.424;61.9948354224364;26.954;17.271
673.44;62.3448317188594;26.958;17.275
674.457;62.0645844571356;26.955;17.272
675.447;61.7955844571356;26.956;17.272
676.44;62.4128317188594;26.959;17.275
677.437;62.0865844571356;26.954;17.272
678.439;62.4890826053488;26.957;17.274
679.424;61.9168354224364;26.954;17.271
680.439;62.1558354224364;26.953;17.271
681.454;62.6400826053488;26.957;17.274
682.449;61.7365844571356;26.956;17.272
683.447;62.1515844571356;26.953;17.272
684.434;61.8775844571356;26.956;17.272
685.415;62.138086414011;26.952;17.27
686.415;61.8723374318612;26.951;17.269
687.415;61.904086414011;26.953;17.27
688.403;62.028333518107;26.958;17.273
689.397;61.837333518107;26.958;17.273
690.38;61.960086414011;26.953;17.27
