"time (h)"	"[monomer] (mM) HPLC"	"[monomer] (mM) HPLC"	"[monomer] (mM) HPLC"	"[monomer] (mM) NMR"	"[monomer] (mM) NMR"	"[monomer] (mM) NMR"	"ThT (a.u.)"	"ThT (a.u.)"	"ThT (a.u.)"
123.77500000000000							3.2588	3.1848	3.2182
123.99666666666700							3.2652	3.1880	3.2269
124.21833333333300							3.2739	3.2036	3.2105
124.44166666666700							3.2618	3.1819	3.2152
124.66333333333300							3.2771	3.1957	3.2122
124.88500000000000							3.2708	3.1977	3.2195
125.10833333333300							3.2486	3.1972	3.2006
125.33000000000000							3.2640	3.1944	3.2196
125.55166666666700							3.2626	3.1807	3.2075
125.77500000000000							3.2785	3.2023	3.2209
125.99666666666700							3.2595	3.2056	3.2226
126.21833333333300							3.2814	3.2015	3.2407
126.44166666666700							3.2900	3.2194	3.2356
126.66333333333300							3.2866	3.2136	3.2272
126.88500000000000							3.2735	3.2210	3.2424
127.10833333333300							3.2746	3.2027	3.2511
127.33000000000000							3.2644	3.2149	3.2186
127.55166666666700							3.2813	3.2379	3.2532
127.77500000000000							3.2822	3.2098	3.2516
127.99666666666700							3.2736	3.2109	3.2467
128.21833333333300							3.2770	3.2286	3.2404
128.44166666666700							3.2782	3.2334	3.2310
128.66333333333300							3.2841	3.2184	3.2423
128.88500000000000							3.2932	3.2019	3.2478
129.10833333333300							3.3056	3.2316	3.2561
