time/h	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	Ab42	Ab42	Ab42	Ab42
6.2111	20625	22450	21976	21750	45512	46047	46119	45852	68931	66235	68301	68906	87148	88063	98551	87799
6.2472	20602	22534	21999	21621	46037	46281	45839	46269	69276	67004	68070	68645	88119	88173	98106	87242
6.2833	20778	22459	21620	21337	45936	47360	47203	46506	69186	66542	68010	69460	88720	87272	98402	87911
6.3194	21006	22854	22441	21697	46445	47024	46591	46692	68438	66590	68514	69517	87590	88528	99201	87374
6.3556	20686	22764	22379	21899	47009	47953	47368	47204	69099	66640	67924	68500	87835	87977	98156	87403
6.3917	20979	23279	22508	22319	47212	48014	47251	47633	69207	66276	68011	68712	88697	88752	98406	88819
6.4278	21128	23608	22374	22374	48011	48889	47985	48117	69699	67326	67532	68620	87549	87442	98048	87898
6.4639	21179	23409	22722	22414	48261	49050	48261	47881	68875	66329	68142	68795	87664	89132	99114	87417
6.5000	21148	23194	22593	22541	49216	48646	48872	48656	68949	66526	69055	68066	88677	88905	99127	87007
6.5361	21088	23413	22772	22809	48642	50188	48845	48359	69181	65908	68721	69124	87926	88270	98979	87973
6.5722	21570	23633	23212	23203	48850	49641	49222	49206	69146	67500	67873	68514	88105	87714	98570	88451
6.6083	21575	24614	23156	22768	49248	49891	49627	49372	69019	66753	68779	69201	86822	88438	98536	89755
6.6444	21412	24078	23443	23110	49456	50747	49840	49516	70152	66987	67584	68683	88816	89051	98342	88726
6.6806	22131	24287	23558	23081	50695	50570	50087	50062	70539	67201	68511	69453	88057	88459	99631	88533
6.7167	22074	24644	23394	22935	50403	51119	50393	49870	70148	67450	69317	69377	88446	88056	99083	88260
6.7528	21463	24227	23936	23123	50774	51346	50042	50608	69026	66674	67592	69826	88703	87982	99286	87744
6.7889	22430	24663	23790	23735	50965	51920	50898	50330	70423	66973	68382	68961	89192	88876	98929	88590
6.8250	22691	24652	24439	23303	50898	51173	51059	51191	68896	67667	68994	68528	87760	89026	1.0061e+05	89403
6.8611	22749	25408	23953	23645	51422	51882	51036	51328	69368	67189	68293	68867	88957	88554	99121	87847
6.8972	22337	25471	24184	23980	52427	52394	51056	51665	69209	66129	68711	69759	87696	88686	98673	87857
6.9333	22524	25205	24162	23600	52682	52729	51348	51922	69864	66756	69017	68463	88918	89238	99237	88888
6.9694	22566	25685	24678	24352	52862	52953	52141	51963	69615	66579	68698	69737	88014	89910	98464	87442
7.0056	23249	25864	24838	24198	52892	53039	52095	51808	69290	66398	68510	69580	87944	88589	98994	88394
7.0417	23177	26422	24690	24724	52087	52962	52070	52684	69295	66193	68437	69234	88441	89476	1.0022e+05	88963
7.0778	23187	26146	24952	24382	52567	53088	51837	52815	70033	67257	69256	69667	88676	88043	98382	87930
7.1139	23230	26671	25094	24858	53352	53038	52288	52181	69491	67074	68745	69037	88336	89158	99761	88812
7.1500	23571	26970	24918	25348	53339	54034	52404	52903	68731	66873	68562	69128	88282	88458	99424	87941
7.1861	23847	27158	25206	24830	53099	53230	52892	53638	69317	66556	68597	69892	88686	88267	99206	87584
7.2222	23520	27463	25328	25310	54052	53483	52998	53024	69767	67549	68919	69719	88124	89084	99316	88714
7.2583	24255	27250	26207	25304	54245	54554	53617	52999	69733	67098	69755	69835	88210	89509	99311	88416
7.2944	23790	27341	25713	25726	53901	53693	53646	53343	68826	66738	69260	68813	87538	90356	1.0012e+05	88572
7.3306	24162	28162	25486	25379	54556	54851	53680	54306	69216	66816	68529	68924	88834	88736	99204	88634
7.3667	24421	28089	26082	25786	54331	54526	53563	54102	69307	67113	68357	69051	88917	89133	99744	87904
7.4028	24264	28275	25897	25757	53831	54553	54003	54181	69512	67558	68829	69376	87815	90125	99727	87890
7.4389	24688	27998	26216	25868	53524	54151	53979	53429	70170	66502	68790	69706	89949	89699	99475	89011
7.4750	24958	28081	26926	26472	54089	54652	54675	54313	69609	67120	69226	68754	89055	88981	1.0013e+05	88387
7.5111	25208	28689	27153	26035	54193	54386	54203	53929	69759	67287	68579	69949	89437	89896	1.0040e+05	88288
7.5472	25466	28490	26574	27013	54684	54511	54741	54241	70294	67668	68229	69177	88264	89485	99990	88385
7.5833	25096	29001	26984	26699	55140	54502	53886	55008	69243	67445	68102	69414	89043	89077	1.0029e+05	88192
7.6194	25097	29589	27008	27105	54793	54334	54427	55089	70231	67993	68522	69446	90175	89361	1.0057e+05	88532
7.6556	25580	29890	27235	26888	54964	55000	53978	55281	69259	67486	68665	70084	88912	90105	1.0137e+05	88697
7.6917	25547	29831	27498	27215	54340	54431	54807	54145	69863	67926	69045	70230	88713	89391	1.0023e+05	89134
7.7278	25940	30572	27673	27788	55047	54768	53858	54807	68875	67522	69150	69278	88821	89594	1.0009e+05	88071
7.7639	26651	30333	27842	27616	54877	55276	54987	54972	69251	67329	69458	69282	89495	89589	1.0028e+05	89693
7.8000	25565	30505	28157	27406	54838	54082	54601	54857	69450	68358	69170	69736	89111	89687	1.0075e+05	88948
7.8361	26375	30352	28010	28091	54907	54517	54935	55133	69587	68268	68615	69361	89374	90099	1.0009e+05	88466
7.8722	26984	30823	28510	27641	55074	55578	54382	54644	69341	67339	69158	69263	89269	88822	1.0047e+05	88745
7.9083	26547	30764	28520	27660	55160	54152	54484	55239	69666	67324	69460	70282	88531	89122	99218	88480
7.9444	26746	31249	28430	28053	55205	54719	54620	54466	69593	67060	68684	69687	89748	89578	1.0021e+05	88545
7.9806	26891	31629	29091	28590	54862	54681	55051	55064	69465	67826	69710	69253	88778	90159	99788	90630
8.0167	27197	31518	28705	29317	54277	55538	54633	55524	69643	66782	69320	68593	89435	90745	1.0020e+05	89707
8.0528	26600	31710	29007	28826	55026	54483	54717	54969	70632	67322	69014	70305	89846	90361	1.0018e+05	88641
8.0889	27104	31600	29022	29162	54584	55046	54879	56354	69806	66686	70197	70123	90114	90644	1.0053e+05	88769
