"q (Å^-1)"	"Intensity (cm^-1) AB 20-34 5 mM"	"Intensity (cm^-1) Monomer random coil model"	"Intensity (cm^-1) low q slope"
0.398830600	0.00076244000000	0.00096789932032	
0.396936100	-0.00022853000000	0.00097653333624	
0.395041600	0.00006016000000	0.00098527972058	
0.393147100	0.00055849000000	0.00099414034898	
0.391252600	0.00082594000000	0.00100311713396	
0.389358100	0.00044883000000	0.00101221202568	
0.387463600	-0.00012884000000	0.00102142701274	
0.385569100	0.00069279000000	0.00103076412297	
0.383674600	0.00065415000000	0.00104022542429	
0.381780100	0.00095809000000	0.00104981302555	
0.379885600	0.00069082000000	0.00105952907736	
0.377991100	0.00059552000000	0.00106937577299	
0.376096600	0.00065104000000	0.00107935534924	
0.374202100	0.00045252000000	0.00108947008737	
0.372307600	0.00102990000000	0.00109972231400	
0.370413100	0.00101580000000	0.00111011440206	
0.368518600	0.00084733000000	0.00112064877172	
0.366624100	0.00044550000000	0.00113132789136	
0.364729600	0.00020734000000	0.00114215427859	
0.362835100	0.00057165000000	0.00115313050117	
0.360940600	0.00046326000000	0.00116425917808	
0.359046100	0.00083583000000	0.00117554298054	
0.357151600	0.00069434000000	0.00118698463299	
0.355257100	-0.00025528000000	0.00119858691421	
0.353362600	0.00074162000000	0.00121035265832	
0.351468100	0.00091722000000	0.00122228475588	
0.349573600	0.00127761000000	0.00123438615498	
0.347679100	0.00107038000000	0.00124665986232	
0.345784500	0.00078177000000	0.00125910960609	
0.343890000	0.00067256000000	0.00127173719943	
0.341995500	0.00069026000000	0.00128454648395	
0.340101000	0.00012990000000	0.00129754071188	
0.338206500	0.00004063000000	0.00131072319960	
0.336312000	0.00077821000000	0.00132409732882	
0.334417500	0.00075594000000	0.00133766654768	
0.332523000	0.00101895000000	0.00135143437187	
0.330628500	0.00082498000000	0.00136540438578	
0.328734000	0.00160948000000	0.00137958024361	
0.326839500	0.00060008000000	0.00139396567046	
0.324945000	0.00159096000000	0.00140856446347	
0.323050500	0.00076163000000	0.00142338049290	
0.321156000	0.00039764000000	0.00143841770317	
0.319261500	0.00102861000000	0.00145368011399	
0.317367000	0.00085173000000	0.00146917182130	
0.315472500	0.00006562000000	0.00148489699838	
0.313578000	0.00158345000000	0.00150085989678	
0.311683500	0.00111998000000	0.00151706484725	
0.309789000	0.00097184000000	0.00153351626072	
0.307894500	0.00145123000000	0.00155021862910	
0.306000000	0.00147383000000	0.00156717652617	
0.304105500	0.00102025000000	0.00158439460831	
0.302211000	0.00080035000000	0.00160187761522	
0.300316500	0.00090199000000	0.00161963037060	
0.298422000	0.00084150000000	0.00163765778271	
0.296527500	0.00142138000000	0.00165596484492	
0.294633000	0.00187439000000	0.00167455663608	
0.292738500	0.00081970000000	0.00169343832091	
0.290844000	0.00026653000000	0.00171261515021	
0.288949400	0.00114942000000	0.00173209349715	
0.287054900	0.00118553000000	0.00175187672906	
0.285160400	0.00119519000000	0.00177197137553	
0.283265900	0.00193742000000	0.00179238303195	
0.281371400	0.00094350000000	0.00181311737927	
0.279476900	0.00122898000000	0.00183418018348	
0.277582400	0.00176159000000	0.00185557729496	
0.275687900	0.00171190000000	0.00187731464755	
0.273793400	0.00204533000000	0.00189939825762	
0.271898900	0.00126733000000	0.00192183422274	
0.270004400	0.00100515000000	0.00194462872030	
0.268109900	0.00171026000000	0.00196778800585	
0.266215400	0.00197403000000	0.00199131841117	
0.264320900	0.00209139000000	0.00201522634219	
0.262426400	0.00137306000000	0.00203951827653	
0.260531900	0.00215059000000	0.00206420076089	
0.258637400	0.00154870000000	0.00208928040805	
0.256742900	0.00149323000000	0.00211476389361	
0.254848400	0.00159453000000	0.00214065795244	
0.252953900	0.00341618000000	0.00216696937472	
0.251059400	0.00184609000000	0.00219370500170	
0.249164900	0.00203101000000	0.00222087172107	
0.247270400	0.00147608000000	0.00224847646194	
0.245375900	0.00186886000000	0.00227652618940	
0.243481400	0.00206585000000	0.00230502789876	
0.241586900	0.00204039000000	0.00233398860921	
0.239692400	0.00200635000000	0.00236341535718	
0.237797900	0.00179905000000	0.00239331518913	
0.235903400	0.00240035000000	0.00242369515393	
0.234008900	0.00322771000000	0.00245456229469	
0.232114400	0.00260263000000	0.00248592364010	
0.230219800	0.00316054000000	0.00251778789047	
0.228325300	0.00274913000000	0.00255015865420	
0.226430800	0.00246642000000	0.00258304452804	
0.224536300	0.00265720000000	0.00261645238570	
0.222641800	0.00261210000000	0.00265038903504	
0.220747300	0.00405394000000	0.00268486120595	
0.218852800	0.00266348000000	0.00271987553780	
0.216958300	0.00362786000000	0.00275543856615	
0.215063800	0.00177911000000	0.00279155670885	
