"Time (h)"	"Time (h)"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"ThT intensity"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"Oligomer Fit"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"	"MDS (normalized)"
25.15000000							0.39292747751596									
25.25000000							0.39124574593488									
25.35000000							0.38957072774576									
25.45000000							0.38790241047421									
25.55000000							0.38624078122256									
25.65000000							0.38458582668500									
25.75000000							0.38293753316226									
25.85000000							0.38129588657593									
25.95000000							0.37966087248235									
26.05000000							0.37803247608613									
26.15000000							0.37641068225333									
26.25000000							0.37479547552420									
26.35000000							0.37318684012568									
26.45000000							0.37158475998341									
26.55000000							0.36998921873351									
26.65000000							0.36840019973401									
26.75000000							0.36681768607592									
26.85000000							0.36524166059399									
26.95000000							0.36367210587723									
27.05000000							0.36210900427903									
27.15000000							0.36055233792707									
27.25000000							0.35900208873290									
27.35000000							0.35745823840129									
27.45000000							0.35592076843921									
27.55000000							0.35438966016469									
27.65000000							0.35286489471530									
27.75000000							0.35134645305644									
27.85000000							0.34983431598939									
27.95000000							0.34832846415910									
28.05000000							0.34682887806175									
28.15000000							0.34533553805210									
28.25000000							0.34384842435061									
28.35000000							0.34236751705037									
28.45000000							0.34089279612380									
28.55000000							0.33942424142911									
28.65000000							0.33796183271668									
28.75000000							0.33650554963515									
28.85000000							0.33505537173729									
28.95000000							0.33361127848587									
29.05000000							0.33217324925910									
29.15000000							0.33074126335617									
29.25000000							0.32931530000237									
29.35000000							0.32789533835423									
29.45000000							0.32648135750444									
29.55000000							0.32507333648658									
29.65000000							0.32367125427977									
29.75000000							0.32227508981313									
29.85000000							0.32088482197012									
29.95000000							0.31950042959271									
30.05000000							0.31812189148549									
30.15000000							0.31674918641956									
30.25000000							0.31538229313637									
30.35000000							0.31402119035139									
30.45000000							0.31266585675769									
30.55000000							0.31131627102937									
30.65000000							0.30997241182495									
30.75000000							0.30863425779055									
30.85000000							0.30730178756304									
30.95000000							0.30597497977310									
31.05000000							0.30465381304809									
31.15000000							0.30333826601492									
31.25000000							0.30202831730276									
31.35000000							0.30072394554570									
31.45000000							0.29942512938531									
31.55000000							0.29813184747311									
31.65000000							0.29684407847292									
31.75000000							0.29556180106323									
31.85000000							0.29428499393938									
31.95000000							0.29301363581574									
32.05000000							0.29174770542774									
32.15000000							0.29048718153396									
32.25000000							0.28923204291795									
32.35000000							0.28798226839022									
32.45000000							0.28673783678993									
32.55000000							0.28549872698673									
32.65000000							0.28426491788232									
32.75000000							0.28303638841221									
32.85000000							0.28181311754713									
32.95000000							0.28059508429462									
33.05000000							0.27938226770048									
33.15000000							0.27817464685007									
33.25000000							0.27697220086979									
33.35000000							0.27577490892827									
33.45000000							0.27458275023760									
33.55000000							0.27339570405462									
33.65000000							0.27221374968195									
33.75000000							0.27103686646923									
33.85000000							0.26986503381402									
33.95000000							0.26869823116298									
34.05000000							0.26753643801271									
34.15000000							0.26637963391081									
34.25000000							0.26522779845666									
34.35000000							0.26408091130242									
34.45000000							0.26293895215373									
34.55000000							0.26180190077056									
34.65000000							0.26066973696802									
34.75000000							0.25954244061697									
34.85000000							0.25841999164486									
34.95000000							0.25730237003622									
35.05000000							0.25618955583348									
35.15000000							0.25508152913743									
35.25000000							0.25397827010791									
35.35000000							0.25287975896425									
35.45000000							0.25178597598589									
35.55000000							0.25069690151284									
35.65000000							0.24961251594613									
35.75000000							0.24853279974834									
35.85000000							0.24745773344392									
35.95000000							0.24638729761967									
36.05000000							0.24532147292515									
36.15000000							0.24426024007291									
36.25000000							0.24320357983905									
36.35000000							0.24215147306324									
36.45000000							0.24110390064936									
36.55000000							0.24006084356554									
36.65000000							0.23902228284450									
36.75000000							0.23798819958387									
36.85000000							0.23695857494631									
36.95000000							0.23593339015977									
37.05000000							0.23491262651777									
37.15000000							0.23389626537944									
37.25000000							0.23288428816981									
37.35000000							0.23187667637989									
37.45000000							0.23087341156691									
37.55000000							0.22987447535430									
37.65000000							0.22887984943193									
37.75000000							0.22788951555625									
