Distance / mm	5 nM	13 nM	21 nM	37 nM	69 nM	131 nM	256 nM	512 nM	1 uM	2 uM	4 uM	8 uM	16 uM	32 uM
20.042	94.113	42.825	50.275	49.588	55.200	83.863	84.225	163.16	199.60	222.91	236.24	255.00	95.812	38.737
20.170	94.787	43.237	50.412	50.200	56.013	85.775	85.488	168.24	205.04	223.05	235.16	255.00	94.050	38.525
20.299	95.387	44.250	50.362	50.987	57.388	87.575	87.200	172.94	211.02	224.02	235.10	255.00	92.975	38.562
20.427	95.600	45.050	50.763	51.312	58.375	88.975	88.137	178.48	214.18	224.04	233.29	254.93	91.488	38.750
20.556	97.825	45.537	50.862	52.338	59.662	90.350	89.588	185.01	219.26	224.36	233.11	254.59	90.725	38.950
20.684	99.238	46.225	51.112	52.838	60.638	91.450	91.050	189.43	222.34	225.07	231.10	253.84	89.588	38.388
20.813	99.512	47.150	51.700	53.350	61.312	92.588	93.475	192.55	223.34	224.29	227.46	252.30	88.887	37.737
20.941	99.088	47.737	51.900	53.812	61.850	94.175	95.825	195.60	223.77	223.23	223.96	249.75	88.287	37.312
21.069	100.89	48.438	52.362	53.963	63.088	96.488	97.075	199.43	224.60	223.00	220.96	247.21	86.012	36.787
21.198	103.61	49.062	52.800	54.225	64.463	97.475	96.850	201.86	225.49	222.18	216.74	244.65	83.762	37.263
21.326	104.05	49.875	52.638	55.250	65.012	98.338	96.512	203.32	224.43	221.16	211.19	240.98	81.375	36.800
21.455	107.05	50.800	52.987	56.138	66.425	99.750	97.463	205.50	224.88	218.89	208.12	239.07	79.938	36.125
21.583	108.60	51.725	53.300	57.275	67.188	100.47	98.200	207.10	223.24	217.26	203.61	234.69	78.400	35.625
21.712	110.96	52.825	54.013	58.237	68.450	101.71	99.450	209.79	222.15	217.27	200.71	231.05	77.225	35.062
21.840	115.28	53.963	54.612	59.150	69.312	102.44	99.963	210.25	220.36	214.60	197.51	226.31	75.200	34.662
21.969	120.51	55.125	55.425	60.350	70.100	103.32	100.84	211.81	217.55	213.21	194.09	222.70	73.688	34.537
22.097	126.84	56.638	56.200	61.138	71.637	103.80	101.43	211.56	215.95	211.46	190.35	217.07	72.200	34.263
