"q (Å^-1)"	"Intensity (cm-1) 1000 nM JB6"	"Intensity (cm-1) 300 nM JB6"	"Intensity (cm-1) 0 nM JB6"
1.1336110000	-0.00246245000000	-0.00264727000000	-0.00215741000000
1.1263690000	-0.00162372000000	-0.00124267000000	-0.00127710000000
1.1191260000	-0.00176594000000	-0.00190983000000	-0.00154877000000
1.1118840000	-0.00206029000000	-0.00147244000000	-0.00188186000000
1.1046410000	-0.00112823000000	-0.00125223000000	-0.00134038000000
1.0973980000	-0.00149223000000	-0.00122505000000	-0.00136163000000
1.0901560000	-0.00190036000000	-0.00129626000000	-0.00170553000000
1.0829130000	-0.00142804000000	-0.00162008000000	-0.00130760000000
1.0756710000	-0.00136849000000	-0.00099581000000	-0.00112549000000
1.0684280000	-0.00122855000000	-0.00139777000000	-0.00110989000000
1.0611850000	-0.00156905000000	-0.00148700000000	-0.00139375000000
1.0539430000	-0.00108244000000	-0.00099105000000	-0.00075748000000
1.0467000000	-0.00137003000000	-0.00165862000000	-0.00093241000000
1.0394580000	-0.00181535000000	-0.00193709000000	-0.00190868000000
1.0322150000	-0.00125582000000	-0.00123877000000	-0.00131722000000
1.0249720000	-0.00151844000000	-0.00137943000000	-0.00098647000000
1.0177300000	-0.00136615000000	-0.00107562000000	-0.00109578000000
1.0104870000	-0.00146807000000	-0.00134107000000	-0.00103693000000
1.0032450000	-0.00141068000000	-0.00147168000000	-0.00144545000000
0.9960020000	-0.00082700000000	-0.00079338000000	-0.00089408000000
0.9887594000	-0.00167505000000	-0.00105460000000	-0.00140655000000
0.9815168000	-0.00145019000000	-0.00124383000000	-0.00167152000000
0.9742742000	-0.00173084000000	-0.00174810000000	-0.00122658000000
0.9670316000	-0.00096198000000	-0.00152652000000	-0.00146651000000
0.9597890000	-0.00050793000000	-0.00081936000000	-0.00042769000000
0.9525464000	-0.00102838000000	-0.00142671000000	-0.00110513000000
0.9453038000	-0.00217575000000	-0.00189957000000	-0.00192107000000
0.9380612000	-0.00082548000000	-0.00050328000000	-0.00056838000000
0.9308186000	-0.00053589000000	-0.00071316000000	-0.00115578000000
0.9235760000	-0.00122785000000	-0.00117180000000	-0.00073822000000
0.9163334000	-0.00089737000000	-0.00059844000000	-0.00073684000000
