(ppm)	"Intensity (a.u.) (without JB6)"	"Intensity (a.u.) (With JB6)"
8.94398935118224	-4226048.00	9544704.00
8.94374486731941	1308672.00	8641536.00
8.94350038345658	6405120.00	7756800.00
8.94325589959375	1.11e+007	7754752.00
8.94301141573092	1.34e+007	8019968.00
8.94276693186808	1.02e+007	7789568.00
8.94252244800526	1671680.00	7400448.00
8.94227796414242	-8119808.00	7707648.00
8.94203348027959	-1.38e+007	8507392.00
8.94178899641676	-1.39e+007	8439808.00
8.94154451255393	-1.16e+007	6796288.00
8.94130002869110	-1.01e+007	4721664.00
8.94105554482827	-9477632.00	3879936.00
8.94081106096544	-7691776.00	4430848.00
8.94056657710261	-4096000.00	5184512.00
8.94032209323978	130560.00	5592064.00
8.94007760937695	3899392.00	6533120.00
8.93983312551412	7190528.00	8919040.00
8.93958864165129	1.03e+007	1.23e+007
8.93934415778846	1.34e+007	1.52e+007
8.93909967392563	1.64e+007	1.67e+007
8.93885519006280	1.89e+007	1.63e+007
8.93861070619997	2.03e+007	1.40e+007
8.93836622233714	1.99e+007	9195520.00
8.93812173847431	1.81e+007	1528832.00
8.93787725461148	1.53e+007	-8725504.00
8.93763277074865	1.16e+007	-2.03e+007
8.93738828688582	6740480.00	-3.12e+007
8.93714380302299	729600.00	-3.97e+007
8.93689931916016	-6451712.00	-4.49e+007
8.93665483529733	-1.52e+007	-4.64e+007
8.93641035143450	-2.53e+007	-4.39e+007
8.93616586757167	-3.43e+007	-3.78e+007
8.93592138370884	-3.91e+007	-2.98e+007
8.93567689984601	-3.84e+007	-2.21e+007
8.93543241598318	-3.41e+007	-1.59e+007
8.93518793212035	-2.93e+007	-1.03e+007
8.93494344825752	-2.62e+007	-3562496.00
8.93469896439468	-2.53e+007	4268032.00
8.93445448053186	-2.62e+007	1.19e+007
8.93420999666902	-2.84e+007	1.82e+007
8.93396551280620	-3.17e+007	2.29e+007
8.93372102894336	-3.65e+007	2.57e+007
8.93347654508053	-4.26e+007	2.63e+007
8.93323206121770	-4.77e+007	2.51e+007
8.93298757735487	-4.82e+007	2.35e+007
8.93274309349204	-4.30e+007	2.33e+007
8.93249860962921	-3.44e+007	2.45e+007
8.93225412576638	-2.59e+007	2.58e+007
8.93200964190355	-1.89e+007	2.61e+007
8.93176515804072	-1.30e+007	2.62e+007
8.93152067417789	-8509440.00	2.66e+007
8.93127619031506	-5967872.00	2.68e+007
8.93103170645223	-4197376.00	2.54e+007
8.93078722258940	-1065472.00	2.26e+007
8.93054273872657	3334656.00	1.95e+007
8.93029825486374	5984768.00	1.67e+007
8.93005377100091	4510208.00	1.25e+007
8.92980928713808	304640.00	5081088.00
8.92956480327525	-3066880.00	-4423680.00
8.92932031941242	-3704832.00	-1.26e+007
8.92907583554959	-2428416.00	-1.73e+007
8.92883135168676	-703488.00	-1.97e+007
8.92858686782393	851968.00	-2.22e+007
8.92834238396110	1878016.00	-2.58e+007
8.92809790009827	1666048.00	-2.97e+007
8.92785341623544	-30208.00	-3.26e+007
8.92760893237261	-2259968.00	-3.39e+007
8.92736444850978	-3725824.00	-3.32e+007
8.92711996464695	-4248576.00	-3.10e+007
8.92687548078412	-5002752.00	-2.86e+007
8.92663099692129	-7414784.00	-2.69e+007
8.92638651305846	-1.21e+007	-2.57e+007
8.92614202919562	-1.85e+007	-2.47e+007
8.92589754533280	-2.55e+007	-2.35e+007
8.92565306146996	-3.19e+007	-2.17e+007
8.92540857760714	-3.66e+007	-1.90e+007
8.92516409374430	-3.88e+007	-1.65e+007
8.92491960988147	-3.84e+007	-1.63e+007
8.92467512601864	-3.52e+007	-1.86e+007
8.92443064215581	-2.89e+007	-2.09e+007
8.92418615829298	-1.99e+007	-2.13e+007
8.92394167443015	-9448960.00	-2.13e+007
8.92369719056732	-440320.00	-2.36e+007
8.92345270670449	4227072.00	-2.80e+007
8.92320822284166	3833856.00	-3.10e+007
8.92296373897883	452608.00	-3.06e+007
8.92271925511600	-2750976.00	-2.84e+007
8.92247477125317	-3686400.00	-2.63e+007
8.92223028739034	-1943040.00	-2.53e+007
8.92198580352751	1838592.00	-2.60e+007
8.92174131966468	6331904.00	-2.89e+007
8.92149683580185	9527296.00	-3.29e+007
8.92125235193902	9491968.00	-3.38e+007
8.92100786807619	5794816.00	-2.83e+007
8.92076338421336	36352.00	-1.82e+007
8.92051890035053	-5305856.00	-8777728.00
8.92027441648770	-8471552.00	-4005888.00
8.92002993262487	-8944640.00	-3989504.00
8.91978544876204	-6930944.00	-6428672.00
8.91954096489921	-2833408.00	-8966144.00
8.91929648103638	2733568.00	-1.03e+007
8.91905199717355	8770048.00	-1.05e+007
8.91880751331072	1.41e+007	-1.08e+007
8.91856302944789	1.78e+007	-1.23e+007
8.91831854558506	2.03e+007	-1.47e+007
8.91807406172223	2.23e+007	-1.71e+007
8.91782957785940	2.51e+007	-1.92e+007
8.91758509399656	2.88e+007	-2.14e+007
8.91734061013374	3.30e+007	-2.35e+007
8.91709612627090	3.66e+007	-2.46e+007
8.91685164240808	3.84e+007	-2.47e+007
8.91660715854524	3.77e+007	-2.42e+007
8.91636267468241	3.45e+007	-2.32e+007
8.91611819081958	3.06e+007	-2.17e+007
8.91587370695675	2.81e+007	-2.01e+007
8.91562922309392	2.77e+007	-1.97e+007
